param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,2.02,2.72,45.71,31.43,31.43,14.29,14.29
ARIMA_d1_p12_q12.csv,2.19,2.84,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p12_q16.csv,2.32,2.95,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p12_q2.csv,2.16,2.84,48.57,34.29,34.29,14.29,14.29
ARIMA_d1_p12_q20.csv,2.37,2.86,40.0,22.86,22.86,17.14,17.14
ARIMA_d1_p12_q24.csv,2.3,2.89,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p12_q3.csv,2.18,2.88,48.57,34.29,34.29,14.29,14.29
ARIMA_d1_p12_q4.csv,2.2,2.89,45.71,31.43,31.43,14.29,14.29
ARIMA_d1_p12_q8.csv,2.17,2.87,45.71,31.43,31.43,17.14,17.14
ARIMA_d1_p16_q1.csv,2.11,2.81,45.71,31.43,31.43,14.29,14.29
ARIMA_d1_p16_q12.csv,2.18,2.82,48.57,31.43,31.43,17.14,17.14
ARIMA_d1_p16_q16.csv,2.25,2.87,48.57,31.43,31.43,17.14,17.14
ARIMA_d1_p16_q2.csv,2.12,2.83,42.86,28.57,28.57,14.29,14.29
ARIMA_d1_p16_q20.csv,2.26,2.81,42.86,25.71,25.71,17.14,17.14
ARIMA_d1_p16_q24.csv,2.4,2.97,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p16_q3.csv,2.2,2.85,40.0,22.86,22.86,17.14,17.14
ARIMA_d1_p16_q4.csv,8053.23,46797.65,37.14,25.71,25.71,11.43,11.43
ARIMA_d1_p16_q8.csv,2.39,3.03,31.43,22.86,22.86,8.57,8.57
ARIMA_d1_p1_q1.csv,1.49,2.25,60.0,40.0,40.0,22.86,22.86
ARIMA_d1_p1_q12.csv,2.49,3.16,45.71,31.43,31.43,14.29,14.29
ARIMA_d1_p1_q16.csv,2.66,3.24,28.57,14.29,14.29,14.29,14.29
ARIMA_d1_p1_q2.csv,1.54,2.26,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p1_q20.csv,2.49,3.1,40.0,28.57,28.57,11.43,11.43
ARIMA_d1_p1_q24.csv,2.28,2.8,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p1_q3.csv,1.68,2.36,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p1_q4.csv,1.91,2.52,40.0,28.57,28.57,11.43,11.43
ARIMA_d1_p1_q8.csv,2.21,2.84,34.29,22.86,22.86,11.43,11.43
ARIMA_d1_p20_q1.csv,2.34,3.03,40.0,22.86,22.86,17.14,17.14
ARIMA_d1_p20_q12.csv,2.09,2.73,45.71,34.29,34.29,11.43,11.43
ARIMA_d1_p20_q16.csv,2.17,2.67,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p20_q2.csv,2.52,3.03,34.29,14.29,14.29,20.0,20.0
ARIMA_d1_p20_q20.csv,2.31,2.79,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p20_q24.csv,2.38,2.79,45.71,28.57,28.57,17.14,17.14
ARIMA_d1_p20_q3.csv,2.56,3.08,37.14,17.14,17.14,20.0,20.0
