Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,8,2022-01-04,42.75
1,2022-01-04,8,2022-01-13,43.5
2,2022-01-13,8,2022-01-24,48.0
3,2022-01-24,8,2022-02-02,47.25
4,2022-02-02,8,2022-02-11,47.5
5,2022-02-11,8,2022-02-23,51.5
6,2022-02-23,8,2022-03-04,48.0
7,2022-03-04,8,2022-03-15,44.75
8,2022-03-15,8,2022-03-24,43.25
9,2022-03-24,8,2022-04-04,46.0
10,2022-04-04,8,2022-04-19,45.5
11,2022-04-19,8,2022-04-28,46.0
12,2022-04-28,8,2022-05-11,45.0
13,2022-05-11,8,2022-05-23,44.25
14,2022-05-23,8,2022-06-01,49.25
15,2022-06-01,8,2022-06-13,49.0
16,2022-06-13,8,2022-06-22,49.5
17,2022-06-22,8,2022-07-01,48.25
18,2022-07-01,8,2022-07-12,46.0
19,2022-07-12,8,2022-07-22,45.25
20,2022-07-22,8,2022-08-04,45.75
21,2022-08-04,8,2022-08-16,44.0
22,2022-08-16,8,2022-08-25,44.0
23,2022-08-25,8,2022-09-05,46.0
24,2022-09-05,8,2022-09-14,41.0
25,2022-09-14,8,2022-09-23,42.0
26,2022-09-23,8,2022-10-04,40.75
27,2022-10-04,8,2022-10-17,39.25
28,2022-10-17,8,2022-10-27,39.25
29,2022-10-27,8,2022-11-07,42.0
30,2022-11-07,8,2022-11-16,43.0
31,2022-11-16,8,2022-11-25,42.5
32,2022-11-25,8,2022-12-07,42.25
33,2022-12-07,8,2022-12-19,40.75
34,2022-12-19,8,2022-12-28,40.0
