param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,1.91,8.62,62.86,34.29,34.29,28.57,28.57
ARIMA_d1_p12_q12.csv,2.25,9.88,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p12_q16.csv,2.16,9.53,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p12_q2.csv,1.98,8.82,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p12_q20.csv,2.15,9.42,62.86,31.43,31.43,31.43,31.43
ARIMA_d1_p12_q24.csv,2.47,10.6,65.71,37.14,37.14,28.57,28.57
ARIMA_d1_p12_q3.csv,2.01,8.82,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p12_q4.csv,2.01,8.84,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p12_q8.csv,2.07,9.41,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p16_q1.csv,1.94,8.57,68.57,31.43,31.43,37.14,37.14
ARIMA_d1_p16_q12.csv,2.2,10.0,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p16_q16.csv,2.11,9.59,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p16_q2.csv,2.04,8.89,62.86,28.57,28.57,34.29,34.29
ARIMA_d1_p16_q20.csv,2.09,9.55,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p16_q24.csv,2.33,10.75,57.14,34.29,34.29,22.86,22.86
ARIMA_d1_p16_q3.csv,1.97,8.88,62.86,28.57,28.57,34.29,34.29
ARIMA_d1_p16_q4.csv,2.03,9.05,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p16_q8.csv,1.93,8.92,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p1_q1.csv,1.98,8.88,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p1_q12.csv,1.96,8.77,65.71,31.43,31.43,34.29,34.29
ARIMA_d1_p1_q16.csv,1.97,8.91,62.86,31.43,31.43,31.43,31.43
ARIMA_d1_p1_q2.csv,1.97,8.89,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p1_q20.csv,2.08,9.32,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p1_q24.csv,2.16,9.37,57.14,34.29,34.29,22.86,22.86
ARIMA_d1_p1_q3.csv,1.92,8.66,45.71,28.57,28.57,17.14,17.14
ARIMA_d1_p1_q4.csv,1.93,8.69,45.71,28.57,28.57,20.0,20.0
ARIMA_d1_p1_q8.csv,1.95,8.83,65.71,37.14,37.14,28.57,28.57
ARIMA_d1_p20_q1.csv,2.01,8.68,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p20_q12.csv,2.3,10.3,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p20_q16.csv,2.14,10.1,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p20_q2.csv,2.13,9.32,65.71,31.43,31.43,34.29,34.29
ARIMA_d1_p20_q20.csv,2.34,10.68,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p20_q24.csv,2.37,10.55,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p20_q3.csv,2.13,9.21,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p20_q4.csv,2.13,9.14,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p20_q8.csv,2.29,9.94,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p24_q1.csv,2.12,9.4,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p24_q12.csv,2.32,10.03,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p24_q16.csv,2.45,10.61,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p24_q2.csv,2.12,9.51,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p24_q20.csv,2.46,10.78,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p24_q24.csv,2.55,11.85,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p24_q3.csv,2.13,9.5,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p24_q4.csv,2.25,10.26,62.86,37.14,37.14,25.71,25.71
ARIMA_d1_p24_q8.csv,2.19,10.04,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p2_q1.csv,2.0,8.97,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p2_q12.csv,1.93,8.66,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p2_q16.csv,1.97,8.77,54.29,28.57,28.57,25.71,25.71
