param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
window_size_10.csv,6.47,12.96,51.43,20.0,11.43,42.86,40.0
window_size_15.csv,8.6,16.13,48.57,17.14,8.57,40.0,40.0
window_size_20.csv,10.86,19.44,42.86,11.43,2.86,40.0,40.0
window_size_5.csv,4.99,10.04,57.14,31.43,25.71,34.29,31.43
