Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,138.55
1,2022-01-04,6,2022-01-13,140.9
2,2022-01-13,6,2022-01-24,141.65
3,2022-01-24,6,2022-02-02,141.65
4,2022-02-02,6,2022-02-11,142.45
5,2022-02-11,6,2022-02-23,145.15
6,2022-02-23,6,2022-03-04,147.2
7,2022-03-04,6,2022-03-15,148.65
8,2022-03-15,6,2022-03-24,151.3
9,2022-03-24,6,2022-04-04,153.3
10,2022-04-04,6,2022-04-19,155.7
11,2022-04-19,6,2022-04-28,156.4
12,2022-04-28,6,2022-05-11,157.25
13,2022-05-11,6,2022-05-23,157.8
14,2022-05-23,6,2022-06-01,157.3
15,2022-06-01,6,2022-06-13,155.2
16,2022-06-13,6,2022-06-22,153.05
17,2022-06-22,6,2022-07-01,151.75
18,2022-07-01,6,2022-07-12,151.05
19,2022-07-12,6,2022-07-22,149.8
20,2022-07-22,6,2022-08-04,147.7
21,2022-08-04,6,2022-08-16,146.95
22,2022-08-16,6,2022-08-25,146.75
23,2022-08-25,6,2022-09-05,147.95
24,2022-09-05,6,2022-09-14,148.65
25,2022-09-14,6,2022-09-23,148.95
26,2022-09-23,6,2022-10-04,149.4
27,2022-10-04,6,2022-10-17,148.85
28,2022-10-17,6,2022-10-27,148.25
29,2022-10-27,6,2022-11-07,147.9
30,2022-11-07,6,2022-11-16,148.7
31,2022-11-16,6,2022-11-25,148.7
32,2022-11-25,6,2022-12-07,147.9
33,2022-12-07,6,2022-12-19,146.4
34,2022-12-19,6,2022-12-28,145.55
