Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,14,2022-01-04,10.63
1,2022-01-04,14,2022-01-13,10.73
2,2022-01-13,14,2022-01-24,10.87
3,2022-01-24,14,2022-02-02,10.87
4,2022-02-02,14,2022-02-11,10.97
5,2022-02-11,14,2022-02-23,11.0
6,2022-02-23,14,2022-03-04,11.1
7,2022-03-04,14,2022-03-15,11.37
8,2022-03-15,14,2022-03-24,11.2
9,2022-03-24,14,2022-04-04,11.27
10,2022-04-04,14,2022-04-19,11.07
11,2022-04-19,14,2022-04-28,11.33
12,2022-04-28,14,2022-05-11,11.63
13,2022-05-11,14,2022-05-23,11.87
14,2022-05-23,14,2022-06-01,12.07
15,2022-06-01,14,2022-06-13,12.13
16,2022-06-13,14,2022-06-22,12.53
17,2022-06-22,14,2022-07-01,12.7
18,2022-07-01,14,2022-07-12,12.7
19,2022-07-12,14,2022-07-22,12.63
20,2022-07-22,14,2022-08-04,12.7
21,2022-08-04,14,2022-08-16,12.83
22,2022-08-16,14,2022-08-25,13.1
23,2022-08-25,14,2022-09-05,13.67
24,2022-09-05,14,2022-09-14,14.17
25,2022-09-14,14,2022-09-23,14.3
26,2022-09-23,14,2022-10-04,13.9
27,2022-10-04,14,2022-10-17,13.27
28,2022-10-17,14,2022-10-27,12.87
29,2022-10-27,14,2022-11-07,12.57
30,2022-11-07,14,2022-11-16,12.77
31,2022-11-16,14,2022-11-25,12.67
32,2022-11-25,14,2022-12-07,12.83
33,2022-12-07,14,2022-12-19,12.97
34,2022-12-19,14,2022-12-28,13.3
