,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,214.82
0,2022-01-04,18,2022-01-13,219.82
0,2022-01-13,18,2022-01-24,219.01
0,2022-01-24,18,2022-02-02,220.76
0,2022-02-02,18,2022-02-11,221.92
0,2022-02-11,18,2022-02-23,224.77
0,2022-02-23,18,2022-03-04,224.49
0,2022-03-04,18,2022-03-15,224.42
0,2022-03-15,18,2022-03-24,226.38
0,2022-03-24,18,2022-04-04,224.63
0,2022-04-04,18,2022-04-19,227.35
0,2022-04-19,18,2022-04-28,224.84
0,2022-04-28,18,2022-05-11,224.6
0,2022-05-11,18,2022-05-23,220.32
0,2022-05-23,18,2022-06-01,221.15
0,2022-06-01,18,2022-06-13,220.86
0,2022-06-13,18,2022-06-22,206.34
0,2022-06-22,18,2022-07-01,198.15
0,2022-07-01,18,2022-07-12,196.56
0,2022-07-12,18,2022-07-22,203.0
0,2022-07-22,18,2022-08-04,201.01
0,2022-08-04,18,2022-08-16,200.05
