param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
window_size_10.csv,5.43,13.23,51.43,31.43,31.43,20.0,20.0
window_size_15.csv,7.37,17.33,51.43,31.43,31.43,20.0,20.0
window_size_20.csv,8.83,20.93,54.29,31.43,28.57,25.71,25.71
window_size_5.csv,2.93,8.35,65.71,31.43,31.43,34.29,34.29
