Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,197.12
1,2022-01-04,18,2022-01-13,200.79
2,2022-01-13,18,2022-01-24,202.96
3,2022-01-24,18,2022-02-02,205.38
4,2022-02-02,18,2022-02-11,207.75
5,2022-02-11,18,2022-02-23,211.38
6,2022-02-23,18,2022-03-04,215.12
7,2022-03-04,18,2022-03-15,218.75
8,2022-03-15,18,2022-03-24,221.92
9,2022-03-24,18,2022-04-04,224.83
10,2022-04-04,18,2022-04-19,227.08
11,2022-04-19,18,2022-04-28,226.92
12,2022-04-28,18,2022-05-11,227.25
13,2022-05-11,18,2022-05-23,226.08
14,2022-05-23,18,2022-06-01,226.08
15,2022-06-01,18,2022-06-13,225.83
16,2022-06-13,18,2022-06-22,224.5
17,2022-06-22,18,2022-07-01,221.25
18,2022-07-01,18,2022-07-12,218.29
19,2022-07-12,18,2022-07-22,215.88
20,2022-07-22,18,2022-08-04,213.38
21,2022-08-04,18,2022-08-16,210.96
22,2022-08-16,18,2022-08-25,208.29
23,2022-08-25,18,2022-09-05,206.42
24,2022-09-05,18,2022-09-14,204.04
25,2022-09-14,18,2022-09-23,202.46
26,2022-09-23,18,2022-10-04,200.21
27,2022-10-04,18,2022-10-17,197.96
28,2022-10-17,18,2022-10-27,196.12
29,2022-10-27,18,2022-11-07,195.29
30,2022-11-07,18,2022-11-16,194.25
31,2022-11-16,18,2022-11-25,192.96
32,2022-11-25,18,2022-12-07,191.83
33,2022-12-07,18,2022-12-19,190.54
34,2022-12-19,18,2022-12-28,189.29
