param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,2.79,0.62,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p12_q12.csv,2.78,0.67,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p12_q16.csv,2.74,0.65,62.86,28.57,28.57,34.29,34.29
ARIMA_d1_p12_q2.csv,2.57,0.56,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p12_q20.csv,2.93,0.67,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p12_q24.csv,3.38,0.75,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p12_q3.csv,2.91,0.64,42.86,20.0,20.0,25.71,25.71
ARIMA_d1_p12_q4.csv,2.69,0.6,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p12_q8.csv,2.44,0.56,62.86,34.29,34.29,28.57,28.57
ARIMA_d1_p16_q1.csv,2.76,0.63,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p16_q12.csv,2.64,0.64,57.14,31.43,31.43,28.57,28.57
ARIMA_d1_p16_q16.csv,2.8,0.63,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p16_q2.csv,3.03,0.69,34.29,17.14,17.14,17.14,17.14
ARIMA_d1_p16_q20.csv,2.84,0.7,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p16_q24.csv,3.11,0.76,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p16_q3.csv,3.0,0.68,34.29,17.14,17.14,17.14,17.14
ARIMA_d1_p16_q4.csv,2.85,0.66,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p16_q8.csv,2.82,0.64,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p1_q1.csv,2.58,0.57,42.86,17.14,17.14,25.71,25.71
ARIMA_d1_p1_q12.csv,2.89,0.63,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p1_q16.csv,2.6,0.61,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p1_q2.csv,2.59,0.57,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p1_q20.csv,2.96,0.69,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p1_q24.csv,3.31,0.76,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p1_q3.csv,2.69,0.59,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p1_q4.csv,2.72,0.6,54.29,28.57,28.57,28.57,28.57
ARIMA_d1_p1_q8.csv,2.76,0.61,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p20_q1.csv,2.85,0.65,51.43,28.57,28.57,25.71,25.71
ARIMA_d1_p20_q12.csv,2.94,0.7,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p20_q16.csv,2.81,0.64,57.14,31.43,31.43,28.57,28.57
ARIMA_d1_p20_q2.csv,2.8,0.64,51.43,31.43,31.43,22.86,22.86
ARIMA_d1_p20_q20.csv,3.36,0.76,42.86,28.57,28.57,14.29,14.29
ARIMA_d1_p20_q24.csv,3.05,0.72,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p20_q3.csv,2.84,0.65,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p20_q4.csv,2.72,0.63,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p20_q8.csv,2.38,0.57,65.71,31.43,31.43,34.29,34.29
ARIMA_d1_p24_q1.csv,2.88,0.67,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p24_q12.csv,2.87,0.69,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p24_q16.csv,2.84,0.63,42.86,17.14,17.14,25.71,25.71
ARIMA_d1_p24_q2.csv,3.0,0.69,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p24_q20.csv,3.31,0.76,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p24_q24.csv,3.19,0.7,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p24_q3.csv,2.75,0.64,57.14,22.86,22.86,34.29,34.29
ARIMA_d1_p24_q4.csv,2.81,0.65,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p24_q8.csv,2.67,0.65,62.86,31.43,31.43,34.29,34.29
ARIMA_d1_p2_q1.csv,2.62,0.58,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p2_q12.csv,2.76,0.63,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p2_q16.csv,3.0,0.7,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p2_q2.csv,2.67,0.58,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p2_q20.csv,3.01,0.71,48.57,28.57,28.57,22.86,22.86
ARIMA_d1_p2_q24.csv,3.37,0.76,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p2_q3.csv,2.72,0.59,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p2_q4.csv,2.73,0.6,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p2_q8.csv,2.77,0.61,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p3_q1.csv,2.68,0.59,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p3_q12.csv,2.73,0.63,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p3_q16.csv,2.85,0.66,48.57,28.57,28.57,22.86,22.86
ARIMA_d1_p3_q2.csv,2.67,0.59,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p3_q20.csv,3.19,0.73,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p3_q24.csv,3.27,0.74,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p3_q3.csv,2.71,0.59,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p3_q4.csv,2.73,0.6,54.29,25.71,25.71,31.43,31.43
ARIMA_d1_p3_q8.csv,2.61,0.6,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p4_q1.csv,2.72,0.59,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p4_q12.csv,2.75,0.63,42.86,22.86,22.86,22.86,22.86
ARIMA_d1_p4_q16.csv,2.96,0.68,45.71,28.57,28.57,20.0,20.0
ARIMA_d1_p4_q2.csv,2.72,0.59,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p4_q20.csv,3.14,0.74,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p4_q24.csv,3.28,0.74,48.57,22.86,22.86,28.57,28.57
ARIMA_d1_p4_q3.csv,2.71,0.6,48.57,22.86,22.86,28.57,28.57
ARIMA_d1_p4_q4.csv,2.55,0.58,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p4_q8.csv,2.59,0.6,60.0,25.71,25.71,34.29,34.29
ARIMA_d1_p8_q1.csv,2.72,0.6,54.29,25.71,25.71,31.43,31.43
ARIMA_d1_p8_q12.csv,2.59,0.62,68.57,25.71,25.71,45.71,45.71
ARIMA_d1_p8_q16.csv,3.07,0.7,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p8_q2.csv,2.73,0.6,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p8_q20.csv,3.05,0.7,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p8_q24.csv,3.13,0.72,42.86,22.86,22.86,22.86,22.86
ARIMA_d1_p8_q3.csv,2.62,0.58,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p8_q4.csv,2.67,0.62,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p8_q8.csv,2.85,0.62,51.43,25.71,25.71,28.57,28.57
ARIMA_d2_p12_q1.csv,2.79,0.61,45.71,22.86,22.86,22.86,22.86
ARIMA_d2_p12_q12.csv,2.81,0.65,45.71,25.71,25.71,20.0,20.0
ARIMA_d2_p12_q2.csv,2.81,0.61,48.57,20.0,20.0,28.57,28.57
ARIMA_d2_p12_q3.csv,2.58,0.61,62.86,31.43,31.43,34.29,34.29
ARIMA_d2_p12_q4.csv,2.78,0.64,60.0,31.43,31.43,28.57,28.57
ARIMA_d2_p12_q8.csv,2.78,0.66,60.0,25.71,25.71,34.29,34.29
ARIMA_d2_p1_q1.csv,2.6,0.58,48.57,20.0,20.0,28.57,28.57
ARIMA_d2_p1_q12.csv,2.82,0.63,48.57,20.0,20.0,31.43,31.43
ARIMA_d2_p1_q16.csv,2.7,0.62,51.43,28.57,28.57,25.71,25.71
ARIMA_d2_p1_q2.csv,2.58,0.57,45.71,20.0,20.0,28.57,28.57
ARIMA_d2_p1_q20.csv,3.1,0.7,45.71,22.86,22.86,22.86,22.86
ARIMA_d2_p1_q24.csv,2.94,0.7,54.29,22.86,22.86,31.43,31.43
ARIMA_d2_p1_q3.csv,2.67,0.58,42.86,17.14,17.14,25.71,25.71
ARIMA_d2_p1_q4.csv,2.7,0.59,48.57,22.86,22.86,25.71,25.71
ARIMA_d2_p1_q8.csv,2.75,0.6,42.86,17.14,17.14,25.71,25.71
ARIMA_d2_p2_q1.csv,2.62,0.58,48.57,22.86,22.86,25.71,25.71
ARIMA_d2_p2_q12.csv,2.64,0.63,60.0,25.71,25.71,37.14,37.14
ARIMA_d2_p2_q16.csv,2.87,0.65,60.0,31.43,31.43,28.57,28.57
ARIMA_d2_p2_q2.csv,2.62,0.58,48.57,22.86,22.86,25.71,25.71
ARIMA_d2_p2_q20.csv,3.29,0.76,42.86,25.71,25.71,17.14,17.14
