param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d10_p10_q2.csv,3.1394811199659244e+16,1.6661325781571488e+17,51.43,42.86,40.0,22.86,11.43
ARIMA_d10_p10_q3.csv,11.99,24.57,48.57,40.0,31.43,22.86,17.14
ARIMA_d10_p6_q2.csv,23.36,45.0,37.14,28.57,28.57,11.43,8.57
ARIMA_d10_p6_q3.csv,2702822230647417.5,2.565901422086237e+16,25.71,20.0,20.0,8.57,5.71
ARIMA_d6_p10_q2.csv,5.48,11.61,42.86,40.0,37.14,8.57,5.71
ARIMA_d6_p10_q3.csv,383612703.72,3812731982.89,42.86,34.29,31.43,17.14,11.43
ARIMA_d6_p6_q2.csv,6.47,13.36,42.86,31.43,28.57,17.14,14.29
ARIMA_d6_p6_q3.csv,6.35,13.82,45.71,31.43,28.57,22.86,17.14
