param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,2.72,0.32,42.86,17.14,17.14,25.71,25.71
ARIMA_d1_p12_q12.csv,2.8,0.32,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p12_q16.csv,2.79,0.32,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p12_q2.csv,2.72,0.31,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p12_q20.csv,2.81,0.32,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p12_q24.csv,3.36,0.36,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p12_q3.csv,2.69,0.31,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p12_q4.csv,2.73,0.31,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p12_q8.csv,2.65,0.32,51.43,20.0,20.0,31.43,31.43
ARIMA_d1_p16_q1.csv,2.82,0.32,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p16_q12.csv,2.65,0.3,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p16_q16.csv,2.76,0.31,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p16_q2.csv,2.83,0.32,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p16_q20.csv,3.03,0.34,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p16_q24.csv,3.3,0.35,42.86,28.57,28.57,14.29,14.29
ARIMA_d1_p16_q3.csv,2.65,0.3,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p16_q4.csv,2.67,0.3,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p16_q8.csv,2.7,0.31,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p1_q1.csv,2.41,0.28,62.86,37.14,37.14,25.71,25.71
ARIMA_d1_p1_q12.csv,2.85,0.32,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p1_q16.csv,2.77,0.31,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p1_q2.csv,2.32,0.28,62.86,28.57,28.57,34.29,34.29
