Date,ECON_STOCKMARKET,ECON_ENTREPRENEURSHIP,ECON_CURRENCY_EXCHANGE_RATE,ECON_MONOPOLY,ECON_HOUSING_PRICES,ECON_COST_OF_LIVING,ECON_UNIONS,ECON_TRADE_DISPUTE,ECON_IPO,ECON_SUBSIDIES,ECON_DEREGULATION,ECON_INTEREST_RATES,ECON_CURRENCY_RESERVES,ECON_EARNINGSREPORT,ECON_NATIONALIZE,ECON_DEBT,ECON_TAXATION,SLFID_ECONOMIC_DEVELOPMENT,SLFID_ECONOMIC_POWER,ECON_REMITTANCE,ECON_INFORMAL_ECONOMY,ECON_DEVELOPMENTORGS,SLFID_ECONOMIC_DEVELOPMENTAID,ECON_FOREIGNINVEST,SOC_ECONCOOP,ECON_FREETRADE,ECON_MOU,ECON_EMERGINGECON,ECON_DEFLATION,ECON_MIDDLECLASS,ECON_WORKINGCLASS,ECON_OILPRICE,ECON_PRICECONTROL,ECON_UNDEREMPLOYMENT,ECON_GOLDPRICE,ECON_DIESELPRICE,ECON_ELECTRICALGENERATION,ECON_ELECTRICALGRID,ECON_ELECTRICALDEMAND,ECON_MONEYLAUNDERING,ECON_WORLDCURRENCIES,ECON_ELECTRICALPRICE,ECON_NATGASPRICE,ECON_FOREIGNBANKS,ECON_CENTRALBANK,ECON_GASOLINEPRICE,ECON_HEATINGOIL,ECON_CUTOUTLOOK,ECON_IDENTITYTHEFT,ECON_NEWPOWERPLANT,ECON_PRICEGOUGE,ECON_INFLATION,WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES,WB_471_ECONOMIC_GROWTH,WB_1096_MACROECONOMIC_SUSTAINABILITY,WB_162_TRANSPORT_ECONOMICS,WB_1152_ECONOMIC_AND_SOCIAL_MOBILITY,WB_862_GROWTH_POLES_AND_ECONOMIC_ZONES,WB_1016_SPECIAL_ECONOMIC_ZONES,WB_625_HEALTH_ECONOMICS_AND_FINANCE,WB_1070_ECONOMIC_GROWTH_POLICY,WB_1540_ECONOMICS_OF_EDUCATION,WB_427_WATER_ALLOCATION_AND_WATER_ECONOMICS,ECON_PROPANE,WB_798_LOCAL_AND_REGIONAL_ECONOMIC_DEVELOPMENT,ECON_COUNTERFEITMONEY,WB_2124_ECONOMIC_ANALYSIS_OF_EDUCATION,WB_440_MACROECONOMIC_MONITORING,WB_2345_DIGITAL_ECONOMY_STRATEGY,WB_836_POLITICAL_ECONOMY_OF_REFORM,WB_1998_WATER_ECONOMICS,WB_2111_COMPETITION_ECONOMICS,ECON_HEATINGOILPRICE,WB_331_ECONOMIC_TRANSPARENCY,WB_1106_MACROECONOMIC_PERFORMANCE,ECON_QUITRATE,WB_1141_ECONOMIC_SHOCKS_AND_TRADE,WB_702_ECONOMIC_SHOCKS_AND_VULNERABILITY,ECON_PROPANEPRICE
2018-01-11,0.43286,1.45398,0.0,0.0,-0.68337,-1.17647,0.0,0.0,0.0,0.0,0.0,1.30179,0.0,0.0,0.0,-1.51383,-0.56584,0.0,0.0,0.0,0.0,0.18627,4.18681,0.0,2.10526,0.0,-1.16927,0.0,0.0,0.0,0.0,-0.70733,0.0,0.0,7.44681,0.0,0.0,0.0,0.0,-3.75,-1.76378,0.0,0.0,-3.11373,1.41956,0.0,0.0,0.0,-4.35754,0.0,0.0,-0.73676,-0.68871,-2.07236,0.96077,1.41956,0.0,0.0,3.0303,3.0303,0.0,-0.59259,0.0,-0.59259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,-0.07623,5.49133,-4.01338,0.0,0.0,-0.24213,0.0,0.0,-0.52083,1.46628,0.0,1.98675,0.0,0.0,0.0,0.0,-0.20794,4.62428,0.0,0.0,0.0,-0.21144,5.49133,-0.44643,0.0,0.0,3.74901,0.0,1.98675,0.0,0.0,-1.59821,0.0,0.0,7.6069,0.0,0.0,0.0,0.0,-6.01852,-0.24057,0.0,0.0,2.00669,0.0,-0.24213,-0.24213,0.0,-3.7694,0.0,0.0,1.98675,0.0,0.0,-0.18801,0.0,0.0,0.0,0.0,0.0,3.37423,-0.06296,0.0,-1.03093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-13,-0.11155,4.8433,-0.3984,0.0,1.91257,0.88889,0.0,0.0,0.0,2.64993,0.0,0.0,0.0,0.0,0.0,-0.51961,-2.92116,3.74662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66815,0.0,0.66815,0.0,0.0,0.0,1.15913,0.0,0.0,7.63889,0.0,0.0,0.0,0.0,-4.77075,-0.3984,0.0,0.0,0.0,-1.15186,0.0,0.0,0.0,-4.77075,0.0,0.0,0.0,-2.9852,-2.7008,-0.27997,0.0,0.0,0.0,0.0,0.0,0.0,0.66815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-14,0.82645,1.62384,0.0,-5.73359,0.0,-0.58732,-1.07474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.21249,-3.20009,0.0,0.0,0.44643,0.0,-2.21967,0.0,0.0,0.0,-0.97943,-3.73134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.27723,0.0,0.0,-3.73134,0.0,0.0,0.0,0.0,-3.41615,0.0,0.0,0.0,-3.21249,0.0,-0.31917,2.82158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-15,-1.64115,3.74609,2.19922,-3.01401,2.0061,-1.01695,-1.41686,0.0,0.0,0.0,0.0,1.73919,0.0,0.0,0.0,-0.9972,0.0,-1.79487,0.0,0.0,0.0,-4.06351,0.0,0.0,-0.2441,-0.97182,-3.73134,0.0,0.0,0.0,0.0,-4.56349,0.0,0.0,7.33333,0.0,1.31332,0.0,0.0,-6.59722,0.062,0.0,0.0,-3.73134,0.0,0.0,0.0,0.0,-6.96307,0.0,0.0,0.0,-0.9972,2.19922,0.28661,0.0,0.0,0.0,-2.98954,-2.98954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.2664,-0.75188,-1.5544,0.0,0.0,0.0,0.0,0.2664,1.59046,0.0,0.57698,0.0,0.0,0.0,0.0,-0.53693,0.0,0.0,0.0,0.0,-2.57468,0.80065,0.60199,0.0,0.0,-0.19646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84314,0.0,0.26281,0.0,0.26281,0.0,0.89368,-1.57895,0.0,0.0,0.59437,0.0,0.0,0.0,-3.43919,-1.57895,0.0,1.99562,0.0,0.0,0.79267,0.0,2.57038,0.0,-0.40633,-1.57895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.26655,-1.16214,-0.27047,0.0,0.71325,2.07715,0.0,0.0,-0.25974,0.0,0.0,0.665,0.0,0.0,0.0,-1.54071,-1.19919,0.0,-1.56413,0.0,0.0,-2.1535,0.0,-5.01296,-1.56413,-1.56413,-0.25974,-0.48489,0.0,0.0,3.4292,-1.05335,0.0,0.0,2.06311,0.0,0.0,0.0,0.0,-1.33988,0.0,0.0,0.0,0.0,-0.05158,0.0,0.0,0.0,-6.32463,0.0,0.0,-0.25974,-1.1212,1.19864,0.0,-1.33988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,1.1078,-0.7326,0.0,1.01758,-0.31888,-0.99964,0.0,0.0,0.0,0.0,1.29063,0.0,0.0,0.0,-1.99773,-1.02822,0.0,0.0,0.0,0.0,2.86547,2.86547,1.86916,0.0,-1.92926,0.0,0.0,-1.41243,-1.36986,0.0,-1.67084,0.0,0.0,7.87879,0.0,0.0,0.0,0.0,0.0,-1.50482,0.0,0.0,0.0,0.17758,0.0,0.0,0.0,-5.25114,0.0,0.0,1.91935,0.75159,2.00582,2.18476,0.0,-1.48196,-1.36986,0.0,0.0,-0.73171,5.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,1.34613,3.73678,0.0,0.0,-3.92157,0.98083,0.0,0.0,-0.48497,0.0,0.0,0.0,0.0,0.0,0.0,-0.48497,-0.18716,0.0,0.0,0.0,0.69252,2.40174,3.61052,3.97351,0.69252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09234,0.0,0.0,0.0,0.0,-2.58466,2.44659,0.0,0.0,0.0,-2.58466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48497,0.55351,2.01404,2.00893,0.0,0.0,0.0,0.0,-0.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-20,-0.08883,0.16155,0.0,-0.94787,-1.49331,0.0,0.0,0.0,0.0,-1.51976,0.0,-0.3858,0.0,0.0,0.0,-1.67436,-1.56975,0.0,0.0,0.0,0.0,0.0,-2.00445,0.0,0.0,0.0,2.96496,0.0,0.0,-1.49331,0.0,-0.95278,0.0,0.0,7.37705,0.0,1.10357,0.0,0.0,0.0,-0.95278,0.0,0.0,0.0,0.0,-1.51976,-1.51976,0.0,0.0,1.93292,0.0,-0.3858,-1.67436,-0.66683,-2.73241,0.0,-4.29688,-1.49331,0.0,0.0,0.0,0.0,0.0,0.16155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
