Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_5.csv,2.65,2.59,68.57,31.43,31.43,37.14,37.14
ARIMA,ARIMA_d4_p6_q3.csv,2.82,2.63,51.43,28.57,28.57,25.71,25.71
Fundamental,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.66,2.48,57.14,22.86,22.86,34.29,34.29
Fundamental+LDA News,RandomForest_lags10_lags_past_covariates6_output_chunk_length1.csv,2.45,2.23,54.29,20.0,20.0,34.29,34.29
Fundamental+LDA Twitter,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.64,2.34,48.57,20.0,20.0,28.57,28.57
Fundamental+GDELT V1,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.59,2.35,54.29,25.71,25.71,28.57,28.57
Fundamental+GDELT V2,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,2.57,2.47,62.86,37.14,37.14,25.71,25.71
Fundamental+LDA News+LDA Twitter,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.18,1.98,48.57,20.0,17.14,34.29,31.43
Fundamental+LDA News+GDELT V1,XGBModel_lags2_lags_past_covariates10_output_chunk_length1.csv,2.18,2.03,51.43,25.71,22.86,31.43,28.57
Fundamental+LDA News+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.23,2.1,51.43,22.86,20.0,34.29,31.43
Fundamental+LDA Twitter+GDELT V1,RandomForest_lags6_lags_past_covariates10_output_chunk_length1.csv,2.72,2.48,54.29,28.57,28.57,25.71,25.71
Fundamental+LDA Twitter+GDELT V2,RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,2.59,2.37,57.14,28.57,28.57,28.57,28.57
Fundamental+GDELT V1+GDELT V2,RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,2.62,2.4,57.14,31.43,31.43,25.71,25.71
Fundamental+LDA News+LDA Twitter+GDELT V1,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.2,2.01,48.57,22.86,20.0,31.43,28.57
Fundamental+LDA News+LDA Twitter+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.21,2.05,51.43,22.86,20.0,34.29,31.43
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.27,2.13,45.71,20.0,17.14,31.43,28.57
Fundamental+LDA Twitter+GDELT V1+GDELT V2,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.58,2.38,51.43,25.71,25.71,25.71,25.71
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates10_output_chunk_length1.csv,2.26,2.12,48.57,22.86,20.0,31.43,28.57
