,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,37.16
0,2022-01-04,12,2022-01-13,37.84
0,2022-01-13,12,2022-01-24,38.87
0,2022-01-24,12,2022-02-02,38.25
0,2022-02-02,12,2022-02-11,38.8
0,2022-02-11,12,2022-02-23,39.24
0,2022-02-23,12,2022-03-04,38.61
0,2022-03-04,12,2022-03-15,39.05
0,2022-03-15,12,2022-03-24,38.86
0,2022-03-24,12,2022-04-04,38.78
0,2022-04-04,12,2022-04-19,38.75
0,2022-04-19,12,2022-04-28,38.32
0,2022-04-28,12,2022-05-11,37.96
0,2022-05-11,12,2022-05-23,37.74
0,2022-05-23,12,2022-06-01,37.6
0,2022-06-01,12,2022-06-13,38.67
0,2022-06-13,12,2022-06-22,37.85
0,2022-06-22,12,2022-07-01,34.88
0,2022-07-01,12,2022-07-12,34.95
0,2022-07-12,12,2022-07-22,35.55
0,2022-07-22,12,2022-08-04,35.64
0,2022-08-04,12,2022-08-16,35.55
0,2022-08-16,12,2022-08-25,37.24
0,2022-08-25,12,2022-09-05,37.7
0,2022-09-05,12,2022-09-14,36.97
0,2022-09-14,12,2022-09-23,37.21
0,2022-09-23,12,2022-10-04,37.13
0,2022-10-04,12,2022-10-17,35.47
0,2022-10-17,12,2022-10-27,34.64
0,2022-10-27,12,2022-11-07,35.87
0,2022-11-07,12,2022-11-16,36.18
0,2022-11-16,12,2022-11-25,35.46
0,2022-11-25,12,2022-12-07,35.23
0,2022-12-07,12,2022-12-19,34.4
