param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,3.39,8.57,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p12_q12.csv,3.5,8.71,60.0,37.14,37.14,22.86,22.86
ARIMA_d1_p12_q16.csv,3.68,8.81,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p12_q2.csv,3.53,8.61,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p12_q20.csv,3.59,8.56,54.29,37.14,37.14,17.14,17.14
ARIMA_d1_p12_q24.csv,3.76,8.88,54.29,37.14,37.14,17.14,17.14
ARIMA_d1_p12_q3.csv,3.46,8.55,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p12_q4.csv,3.46,8.57,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p12_q8.csv,3.41,8.64,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p16_q1.csv,3.58,8.66,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p16_q12.csv,3.69,8.8,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p16_q16.csv,3.51,8.52,57.14,37.14,37.14,20.0,20.0
ARIMA_d1_p16_q2.csv,3.63,8.76,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p16_q20.csv,3.78,8.46,48.57,31.43,31.43,20.0,17.14
ARIMA_d1_p16_q24.csv,3.71,8.32,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p16_q3.csv,3.54,8.69,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p16_q4.csv,3.63,8.85,48.57,31.43,31.43,17.14,17.14
ARIMA_d1_p16_q8.csv,3.62,8.89,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p1_q1.csv,3.14,8.01,60.0,37.14,37.14,22.86,22.86
ARIMA_d1_p1_q12.csv,3.59,8.81,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p1_q16.csv,3.52,8.33,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p1_q2.csv,3.18,8.02,51.43,37.14,37.14,14.29,14.29
ARIMA_d1_p1_q20.csv,3.72,8.74,57.14,42.86,42.86,14.29,14.29
ARIMA_d1_p1_q24.csv,3.81,8.78,51.43,34.29,34.29,17.14,17.14
ARIMA_d1_p1_q3.csv,3.16,8.27,54.29,31.43,31.43,25.71,25.71
ARIMA_d1_p1_q4.csv,3.2,8.22,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p1_q8.csv,3.37,8.48,60.0,37.14,37.14,22.86,22.86
ARIMA_d1_p20_q1.csv,3.66,8.71,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p20_q12.csv,3.47,8.37,48.57,31.43,31.43,17.14,17.14
ARIMA_d1_p20_q16.csv,3.67,8.57,48.57,34.29,34.29,14.29,14.29
ARIMA_d1_p20_q2.csv,3.69,8.8,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p20_q20.csv,3.66,8.49,48.57,37.14,37.14,14.29,11.43
ARIMA_d1_p20_q24.csv,3.64,8.42,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p20_q3.csv,3.63,8.68,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p20_q4.csv,3.66,8.55,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p20_q8.csv,3.53,8.24,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p24_q1.csv,3.69,8.74,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p24_q12.csv,3.66,8.74,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p24_q16.csv,3.66,8.57,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p24_q2.csv,3.69,8.76,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p24_q20.csv,3.81,8.57,54.29,31.43,31.43,25.71,22.86
ARIMA_d1_p24_q24.csv,3.57,8.53,57.14,37.14,37.14,20.0,20.0
ARIMA_d1_p24_q3.csv,3.61,8.53,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p24_q4.csv,3.64,8.62,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p24_q8.csv,3.52,8.54,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p2_q1.csv,3.15,8.16,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p2_q12.csv,3.71,9.03,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p2_q16.csv,3.61,8.54,57.14,28.57,28.57,28.57,28.57
ARIMA_d1_p2_q2.csv,3.19,8.24,60.0,40.0,40.0,20.0,20.0
ARIMA_d1_p2_q20.csv,3.69,8.71,57.14,42.86,42.86,14.29,14.29
ARIMA_d1_p2_q24.csv,3.76,8.69,51.43,34.29,34.29,17.14,17.14
ARIMA_d1_p2_q3.csv,3.2,8.28,60.0,34.29,34.29,25.71,25.71
ARIMA_d1_p2_q4.csv,3.22,8.32,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p2_q8.csv,3.29,8.36,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p3_q1.csv,3.12,8.11,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p3_q12.csv,3.65,8.77,48.57,31.43,31.43,17.14,17.14
ARIMA_d1_p3_q16.csv,3.59,8.5,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p3_q2.csv,3.21,8.28,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p3_q20.csv,3.6,8.68,54.29,40.0,40.0,14.29,14.29
ARIMA_d1_p3_q24.csv,3.89,9.07,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p3_q3.csv,3.2,8.27,57.14,34.29,34.29,22.86,22.86
ARIMA_d1_p3_q4.csv,3.25,8.39,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p3_q8.csv,3.38,8.58,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p4_q1.csv,3.1,8.03,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p4_q12.csv,3.89,9.47,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p4_q16.csv,3.68,8.72,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p4_q2.csv,3.23,8.3,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p4_q20.csv,3.88,8.96,45.71,34.29,34.29,11.43,11.43
ARIMA_d1_p4_q24.csv,3.69,8.72,60.0,37.14,37.14,22.86,22.86
ARIMA_d1_p4_q3.csv,3.23,8.33,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p4_q4.csv,3.27,8.34,57.14,40.0,40.0,17.14,17.14
ARIMA_d1_p4_q8.csv,3.37,8.45,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p8_q1.csv,3.19,8.36,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p8_q12.csv,3.7,8.92,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p8_q16.csv,4.0,9.45,48.57,31.43,31.43,17.14,17.14
ARIMA_d1_p8_q2.csv,3.27,8.52,54.29,25.71,25.71,28.57,28.57
ARIMA_d1_p8_q20.csv,3.8,8.83,48.57,34.29,34.29,14.29,14.29
ARIMA_d1_p8_q24.csv,3.78,8.88,48.57,34.29,34.29,14.29,14.29
ARIMA_d1_p8_q3.csv,3.3,8.44,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p8_q4.csv,3.37,8.48,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p8_q8.csv,3.41,8.52,51.43,28.57,28.57,22.86,22.86
