param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d10_p10_q1.csv,34.17,4.89,37.14,22.86,22.86,20.0,14.29
ARIMA_d10_p10_q2.csv,1.9308723372482772e+18,8.960049618516389e+17,54.29,37.14,34.29,25.71,20.0
ARIMA_d10_p10_q3.csv,12.8,1.94,37.14,22.86,20.0,22.86,17.14
ARIMA_d10_p4_q1.csv,55.82,8.35,40.0,22.86,22.86,22.86,17.14
ARIMA_d10_p4_q2.csv,33.73,5.1,40.0,22.86,22.86,22.86,17.14
ARIMA_d10_p4_q3.csv,21.52,3.18,45.71,28.57,28.57,22.86,17.14
ARIMA_d10_p6_q1.csv,1.7279204247992714e+17,1.1553896505937966e+17,45.71,31.43,28.57,25.71,17.14
ARIMA_d10_p6_q2.csv,24.15,3.69,40.0,22.86,22.86,25.71,17.14
ARIMA_d10_p6_q3.csv,30.94,4.44,40.0,25.71,25.71,22.86,14.29
ARIMA_d4_p10_q1.csv,4.55,0.64,37.14,28.57,28.57,8.57,8.57
ARIMA_d4_p10_q2.csv,4.61,0.65,37.14,25.71,25.71,11.43,11.43
ARIMA_d4_p10_q3.csv,4.39,0.62,34.29,22.86,22.86,11.43,11.43
ARIMA_d4_p4_q1.csv,4.56,0.69,48.57,40.0,37.14,14.29,11.43
ARIMA_d4_p4_q2.csv,5.11,0.77,40.0,31.43,28.57,14.29,11.43
ARIMA_d4_p4_q3.csv,4.12,0.6,48.57,37.14,37.14,11.43,11.43
ARIMA_d4_p6_q1.csv,4.52,0.67,37.14,31.43,31.43,8.57,5.71
ARIMA_d4_p6_q2.csv,4.64,0.66,34.29,28.57,28.57,5.71,5.71
ARIMA_d4_p6_q3.csv,4.09,0.59,42.86,34.29,34.29,8.57,8.57
ARIMA_d6_p10_q1.csv,411684680.54,215502640.83,48.57,34.29,31.43,25.71,17.14
ARIMA_d6_p10_q2.csv,5.25,0.81,42.86,34.29,31.43,14.29,11.43
ARIMA_d6_p10_q3.csv,5.53,0.87,51.43,40.0,37.14,17.14,14.29
ARIMA_d6_p4_q1.csv,9.04,1.32,42.86,31.43,28.57,20.0,14.29
ARIMA_d6_p4_q2.csv,5.99,0.92,40.0,28.57,25.71,20.0,14.29
ARIMA_d6_p4_q3.csv,7.69,1.16,40.0,28.57,25.71,20.0,14.29
ARIMA_d6_p6_q1.csv,7.41,1.16,34.29,25.71,22.86,17.14,11.43
ARIMA_d6_p6_q2.csv,5.37,0.87,48.57,40.0,37.14,17.14,11.43
ARIMA_d6_p6_q3.csv,5.0,0.76,37.14,31.43,31.43,8.57,5.71
