param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,6.35,12.31,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p12_q12.csv,7.56,12.97,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p12_q16.csv,8.49,13.23,48.57,22.86,20.0,28.57,28.57
ARIMA_d1_p12_q2.csv,6.54,12.56,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p12_q20.csv,7.86,12.92,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p12_q24.csv,8.07,13.21,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p12_q3.csv,7.06,12.87,62.86,28.57,28.57,34.29,34.29
ARIMA_d1_p12_q4.csv,6.36,12.76,60.0,25.71,25.71,34.29,34.29
ARIMA_d1_p12_q8.csv,7.56,13.08,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p16_q1.csv,6.63,12.2,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p16_q12.csv,8.03,13.04,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p16_q16.csv,7.96,12.93,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p16_q2.csv,6.76,12.19,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p16_q20.csv,8.22,13.6,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p16_q24.csv,8.61,13.75,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p16_q3.csv,6.97,11.98,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p16_q4.csv,7.57,12.43,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p16_q8.csv,7.79,12.76,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p1_q1.csv,6.11,11.68,37.14,14.29,14.29,22.86,22.86
ARIMA_d1_p1_q12.csv,7.07,12.4,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p1_q16.csv,7.65,12.34,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p1_q2.csv,6.1,11.67,34.29,14.29,14.29,20.0,20.0
ARIMA_d1_p1_q20.csv,7.1,12.4,60.0,28.57,28.57,31.43,31.43
ARIMA_d1_p1_q24.csv,7.98,13.13,42.86,22.86,20.0,22.86,22.86
ARIMA_d1_p1_q3.csv,6.01,11.69,40.0,17.14,17.14,22.86,22.86
ARIMA_d1_p1_q4.csv,6.17,11.78,40.0,17.14,17.14,22.86,22.86
ARIMA_d1_p1_q8.csv,6.9,12.69,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p20_q1.csv,7.27,12.68,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p20_q12.csv,8.03,13.33,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p20_q16.csv,7.92,13.37,57.14,34.29,31.43,25.71,25.71
ARIMA_d1_p20_q2.csv,7.54,12.77,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p20_q20.csv,8.16,13.13,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p20_q24.csv,8.18,13.38,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p20_q3.csv,7.62,12.83,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p20_q4.csv,7.33,12.66,54.29,22.86,22.86,31.43,31.43
ARIMA_d1_p20_q8.csv,8.54,13.68,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p24_q1.csv,7.82,12.97,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p24_q12.csv,8.29,13.73,60.0,31.43,31.43,28.57,28.57
ARIMA_d1_p24_q16.csv,8.0,13.64,51.43,34.29,28.57,22.86,22.86
ARIMA_d1_p24_q2.csv,7.89,13.08,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p24_q20.csv,8.19,13.21,48.57,25.71,22.86,25.71,25.71
ARIMA_d1_p24_q24.csv,8.17,13.43,54.29,28.57,25.71,28.57,28.57
ARIMA_d1_p24_q3.csv,7.68,12.87,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p24_q4.csv,7.4,12.58,51.43,22.86,22.86,28.57,28.57
ARIMA_d1_p24_q8.csv,8.13,13.3,51.43,28.57,25.71,25.71,25.71
ARIMA_d1_p2_q1.csv,6.11,11.67,28.57,14.29,14.29,14.29,14.29
ARIMA_d1_p2_q12.csv,7.56,12.58,60.0,25.71,25.71,34.29,34.29
ARIMA_d1_p2_q16.csv,8.02,12.86,51.43,25.71,22.86,28.57,28.57
ARIMA_d1_p2_q2.csv,5.98,11.13,37.14,14.29,14.29,22.86,22.86
ARIMA_d1_p2_q20.csv,7.89,12.96,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p2_q24.csv,8.15,13.22,42.86,22.86,20.0,22.86,22.86
ARIMA_d1_p2_q3.csv,5.71,11.66,48.57,20.0,20.0,28.57,28.57
ARIMA_d1_p2_q4.csv,6.16,12.23,40.0,11.43,11.43,28.57,28.57
