Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,12,2022-01-04,38.0
1,2022-01-04,12,2022-01-13,37.78
2,2022-01-13,12,2022-01-24,37.75
3,2022-01-24,12,2022-02-02,37.81
4,2022-02-02,12,2022-02-11,37.84
5,2022-02-11,12,2022-02-23,38.16
6,2022-02-23,12,2022-03-04,38.53
7,2022-03-04,12,2022-03-15,38.66
8,2022-03-15,12,2022-03-24,38.81
9,2022-03-24,12,2022-04-04,39.0
10,2022-04-04,12,2022-04-19,38.94
11,2022-04-19,12,2022-04-28,38.84
12,2022-04-28,12,2022-05-11,38.66
13,2022-05-11,12,2022-05-23,38.22
14,2022-05-23,12,2022-06-01,38.09
15,2022-06-01,12,2022-06-13,38.06
16,2022-06-13,12,2022-06-22,37.78
17,2022-06-22,12,2022-07-01,37.06
18,2022-07-01,12,2022-07-12,36.53
19,2022-07-12,12,2022-07-22,36.03
20,2022-07-22,12,2022-08-04,35.69
21,2022-08-04,12,2022-08-16,35.47
22,2022-08-16,12,2022-08-25,35.47
23,2022-08-25,12,2022-09-05,35.41
24,2022-09-05,12,2022-09-14,35.47
25,2022-09-14,12,2022-09-23,35.84
26,2022-09-23,12,2022-10-04,36.16
27,2022-10-04,12,2022-10-17,36.25
28,2022-10-17,12,2022-10-27,36.22
29,2022-10-27,12,2022-11-07,36.28
30,2022-11-07,12,2022-11-16,36.06
31,2022-11-16,12,2022-11-25,35.53
32,2022-11-25,12,2022-12-07,35.12
33,2022-12-07,12,2022-12-19,34.56
34,2022-12-19,12,2022-12-28,33.84
