,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,189.69
0,2022-01-04,18,2022-01-13,191.02
0,2022-01-13,18,2022-01-24,191.28
0,2022-01-24,18,2022-02-02,190.56
0,2022-02-02,18,2022-02-11,199.5
0,2022-02-11,18,2022-02-23,194.12
0,2022-02-23,18,2022-03-04,203.63
0,2022-03-04,18,2022-03-15,200.15
0,2022-03-15,18,2022-03-24,200.44
0,2022-03-24,18,2022-04-04,190.06
0,2022-04-04,18,2022-04-19,185.12
0,2022-04-19,18,2022-04-28,192.88
0,2022-04-28,18,2022-05-11,194.91
0,2022-05-11,18,2022-05-23,196.69
0,2022-05-23,18,2022-06-01,199.86
0,2022-06-01,18,2022-06-13,200.41
0,2022-06-13,18,2022-06-22,191.49
0,2022-06-22,18,2022-07-01,193.63
0,2022-07-01,18,2022-07-12,192.0
0,2022-07-12,18,2022-07-22,196.38
0,2022-07-22,18,2022-08-04,193.77
0,2022-08-04,18,2022-08-16,186.19
0,2022-08-16,18,2022-08-25,186.49
0,2022-08-25,18,2022-09-05,193.92
0,2022-09-05,18,2022-09-14,198.75
0,2022-09-14,18,2022-09-23,192.58
0,2022-09-23,18,2022-10-04,187.26
0,2022-10-04,18,2022-10-17,194.34
0,2022-10-17,18,2022-10-27,192.45
0,2022-10-27,18,2022-11-07,197.32
0,2022-11-07,18,2022-11-16,192.97
0,2022-11-16,18,2022-11-25,191.49
0,2022-11-25,18,2022-12-07,193.6
