Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,15,2022-01-04,62.62
1,2022-01-04,15,2022-01-13,62.1
2,2022-01-13,15,2022-01-24,61.65
3,2022-01-24,15,2022-02-02,61.2
4,2022-02-02,15,2022-02-11,61.0
5,2022-02-11,15,2022-02-23,61.0
6,2022-02-23,15,2022-03-04,61.28
7,2022-03-04,15,2022-03-15,61.52
8,2022-03-15,15,2022-03-24,62.32
9,2022-03-24,15,2022-04-04,62.85
10,2022-04-04,15,2022-04-19,63.58
11,2022-04-19,15,2022-04-28,64.3
12,2022-04-28,15,2022-05-11,65.03
13,2022-05-11,15,2022-05-23,65.47
14,2022-05-23,15,2022-06-01,65.72
15,2022-06-01,15,2022-06-13,65.9
16,2022-06-13,15,2022-06-22,65.32
17,2022-06-22,15,2022-07-01,64.47
18,2022-07-01,15,2022-07-12,64.05
19,2022-07-12,15,2022-07-22,63.88
20,2022-07-22,15,2022-08-04,63.4
21,2022-08-04,15,2022-08-16,62.7
22,2022-08-16,15,2022-08-25,62.1
23,2022-08-25,15,2022-09-05,61.9
24,2022-09-05,15,2022-09-14,61.35
25,2022-09-14,15,2022-09-23,60.72
26,2022-09-23,15,2022-10-04,60.22
27,2022-10-04,15,2022-10-17,59.72
28,2022-10-17,15,2022-10-27,59.2
29,2022-10-27,15,2022-11-07,58.92
30,2022-11-07,15,2022-11-16,58.9
31,2022-11-16,15,2022-11-25,59.0
32,2022-11-25,15,2022-12-07,59.32
33,2022-12-07,15,2022-12-19,59.65
34,2022-12-19,15,2022-12-28,60.28
