Date,ECON_CENTRALBANK,ECON_CURRENCY_EXCHANGE_RATE,ECON_CURRENCY_RESERVES,ECON_DEBT,ECON_DIESELPRICE,ECON_ELECTRICALDEMAND,ECON_ELECTRICALGENERATION,ECON_ELECTRICALGRID,ECON_ELECTRICALPRICE,ECON_EMERGINGECON,ECON_ENTREPRENEURSHIP,ECON_FOREIGNBANKS,ECON_FOREIGNINVEST,ECON_FREETRADE,ECON_GASOLINEPRICE,ECON_GOLDPRICE,ECON_HEATINGOIL,ECON_HEATINGOILPRICE,ECON_HOUSING_PRICES,ECON_IDENTITYTHEFT,ECON_INFLATION,ECON_INTEREST_RATES,ECON_IPO,ECON_MIDDLECLASS,ECON_MONEYLAUNDERING,ECON_MONOPOLY,ECON_NATGASPRICE,ECON_NEWPOWERPLANT,ECON_OILPRICE,ECON_PRICECONTROL,ECON_QUITRATE,ECON_STOCKMARKET,ECON_SUBSIDIES,ECON_TAXATION,ECON_TRADE_DISPUTE,ECON_UNIONS,ECON_WORKINGCLASS,SLFID_ECONOMIC_DEVELOPMENT,SLFID_ECONOMIC_DEVELOPMENTAID,SLFID_ECONOMIC_POWER,SOC_ECONCOOP,WB_1070_ECONOMIC_GROWTH_POLICY,WB_1096_MACROECONOMIC_SUSTAINABILITY,WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,WB_1141_ECONOMIC_SHOCKS_AND_TRADE,WB_1152_ECONOMIC_AND_SOCIAL_MOBILITY,WB_1540_ECONOMICS_OF_EDUCATION,WB_162_TRANSPORT_ECONOMICS,WB_1998_WATER_ECONOMICS,WB_2111_COMPETITION_ECONOMICS,WB_427_WATER_ALLOCATION_AND_WATER_ECONOMICS,WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES,WB_440_MACROECONOMIC_MONITORING,WB_471_ECONOMIC_GROWTH,WB_625_HEALTH_ECONOMICS_AND_FINANCE,WB_702_ECONOMIC_SHOCKS_AND_VULNERABILITY,WB_836_POLITICAL_ECONOMY_OF_REFORM,WB_862_GROWTH_POLES_AND_ECONOMIC_ZONES
2018-01-11,0.0,0.4113,0.0,1.6221,0.0,0.0,3.4483,0.0,3.3075,0.0,0.9908,0.0,0.2491,0.0,3.3569,1.4286,3.3569,0.0,1.8491,0.0,1.2718,3.2421,0.1991,0.0,-9.4609,0.0,0.0,0.0,-0.2713,0.0,0.0,1.5082,2.0747,0.0676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3782,0.0,0.0,0.0,-2.0177,0.0,0.0,0.0,0.0,0.0,0.0227,0.0,0.0,0.0,0.0
2018-01-12,0.0,-0.3294,0.0,-1.261,0.0,0.0,2.713,0.0,0.0,1.6392,0.3413,0.0,1.2189,0.0,2.2044,2.2539,2.2044,0.0,2.4194,0.0,0.2478,-0.8157,0.2791,0.0,-0.8971,-3.7037,0.0,0.0,1.0725,0.0,0.0,0.8901,0.02,-1.6079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8597,0.0,-0.5767,0.0,0.0,-0.616,-2.4859,0.0,0.0,0.0,0.0,0.0,0.5899,0.0,0.0,0.0,0.0
2018-01-13,0.0,-1.6427,0.0,-1.6875,0.0,0.0,0.0,0.0,0.0,0.0,-0.7913,0.0,0.0,0.0,0.0,3.0612,2.963,0.0,-0.5242,0.0,-7.3643,0.2721,0.4016,0.0,0.5711,-3.1706,0.0,0.0,0.0,0.0,0.0,1.1185,1.902,-0.0824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1305,0.0,-1.9441,0.0,0.0,1.1086,0.0,0.0,0.0,1.4196,1.2195,0.0,2.1305,0.0,0.0,0.0,0.0
2018-01-14,0.0,0.1846,0.0,-1.1221,0.0,0.0,0.0,0.0,0.0,0.4141,-0.3592,0.0,0.9335,0.0,0.0,1.1278,0.0,0.0,0.3041,0.0,0.9749,2.1186,2.7027,0.0,0.0,0.6536,0.0,0.0,1.7687,0.0,0.0,1.6059,-0.0004,0.1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7614,0.0,0.0,0.0,-1.9603,0.0,0.0,0.0,-1.0025,0.0,1.5738,0.0,0.0,0.0,0.0
2018-01-15,0.0,0.0985,0.0,-0.6226,0.0,0.0,2.5324,0.0,0.0,0.0,0.546,0.0,0.9399,0.0,0.0,4.7914,0.0,0.0,0.5091,0.0,-1.3637,1.7914,0.0,0.4854,-0.4298,-0.2695,0.0,0.0,0.7785,0.0,0.0,1.1942,0.5007,-1.7796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3476,0.0,-0.5756,0.0,0.4854,1.3581,0.0,0.0,0.0,-1.1111,-0.4702,-0.4702,1.3588,0.0,0.0,0.0,0.0
2018-01-16,8.3333,0.0475,0.0,0.1219,0.0,0.0,4.2356,0.0,0.0,2.0926,1.076,0.0,0.9797,0.0,0.0,4.8475,0.0,0.0,2.6885,0.0,1.0417,1.5944,2.3859,0.0,-2.5145,0.0,0.0,0.0,0.8935,0.0,0.0,0.6075,1.902,-1.9456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872,0.0,0.0,-2.0634,-3.3576,-1.292,2.9734,-1.292,-3.6783,0.0,1.6582,0.0,0.0,0.0,-1.2658
2018-01-17,4.1436,0.3094,0.0,-0.0796,0.0,0.0,0.0,0.0,0.9452,1.6514,1.5214,0.0,2.5387,0.0,0.0,3.5218,0.0,0.0,1.2546,0.0,-0.3054,1.1601,-1.3016,0.0,-3.4506,0.6709,0.0,0.0,0.4664,-1.1914,0.0,1.0957,0.5124,0.9111,0.0,1.6997,0.0,0.0,0.0,0.0,0.0,1.0072,0.0,-0.0678,0.0,0.0,1.9925,-1.8487,0.0,0.0,0.0,0.595,0.0,1.3662,0.0,0.0,0.0,0.0
2018-01-18,0.0,-1.7544,0.0,-1.3944,0.0,0.0,3.5714,0.0,0.0,-0.7152,1.1149,0.0,1.0173,1.5656,0.0,2.6429,0.0,0.0,3.3589,0.0,0.4918,2.5371,2.042,0.0,0.0,-0.3807,0.0,0.0,-0.3902,0.0,0.0,0.6709,2.0359,1.8068,0.0,2.3112,0.0,0.0,0.0,0.0,0.0,2.8533,0.0,-0.8989,0.0,0.0,0.4329,-0.4774,0.0,0.0,0.0,0.0,0.0,1.7154,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.4029,0.0,-0.1284,0.0,0.0,1.3537,0.0,0.0,0.8197,1.6305,0.0,2.3304,0.0,0.0,0.6782,-1.6984,0.0,2.3018,0.0,0.1216,1.3549,2.9232,0.0,-1.2774,0.0,0.0,0.0,0.0008,0.542,0.0,0.7239,1.7405,0.3526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684,0.0,0.0,2.5141,-2.661,0.0,0.0,1.3919,1.5094,0.0,1.9511,0.0,0.0,0.0,0.0
2018-01-20,0.0,0.7456,2.3148,-0.7327,0.0,0.0,0.0,0.0,0.0,0.1208,2.3287,0.0,-0.3363,0.0,0.0,0.0,0.0,0.0,1.2871,-3.7383,1.3265,-0.6502,-1.0438,0.0,-1.1364,1.5679,0.0,0.0,1.2613,0.0,0.0,0.2318,2.0865,-1.5217,2.4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6357,0.0,0.0,0.0,-0.9109,0.0,0.0,0.0,1.2088,0.0,0.6646,0.0,0.0,0.0,0.0
2018-01-21,0.0,3.4188,0.0,0.2168,0.0,0.0,0.0,0.0,0.0,-0.4551,1.1815,0.0,0.1313,0.0,0.0,0.0,0.0,0.0,0.9275,0.0,-0.6465,2.2068,0.0,0.0,0.0,0.0,0.0,0.0,-1.7328,0.0,0.0,0.0427,0.9611,-1.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4474,0.0,0.154,0.0,0.0,1.1144,1.2608,0.0,0.0,0.0,0.0,0.0,1.9975,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.7563,0.0,-0.4021,0.0,0.0,1.9263,0.0,0.0,0.4256,1.5555,0.0,0.8308,0.0,0.0,2.963,0.0,0.0,1.6554,0.0,-0.098,2.7636,1.6223,0.0,0.0,0.0,0.0,0.0,0.6544,0.0,0.0,1.4508,0.0962,-0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6144,0.0,-0.0795,0.0,0.0,1.1111,-1.5733,0.0,0.0,0.9421,-1.3193,0.0,0.3701,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.6897,0.0,-0.6844,0.0,0.0,-11.7073,0.0,0.0,-0.1415,1.802,0.0,0.9312,0.0,0.0,3.3874,0.0,0.0,1.9628,0.0,-0.0201,1.9162,0.0,0.0,0.4132,0.0,0.0,0.0,0.4116,-0.3521,0.0,0.7769,-0.2722,-1.2307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3359,0.0,0.0,-0.6661,2.9064,0.0,-0.4651,0.0,-1.7606,0.0,0.3951,2.9064,0.0,0.0,0.0
