Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-29,Hold,0,24.6,24.57,0.29,1000000
2023-01-10,Hold,0,24.2,24.29,0.37,1000000
2023-01-19,Hold,0,24.1,24.72,2.57,1000000
2023-01-30,Hold,0,23.6,24.37,3.26,1000000
2023-02-08,Hold,0,23.6,24.53,3.94,1000000
2023-02-17,Hold,0,22.8,23.39,2.59,1000000
2023-02-28,Buy,44400,22.5,23.75,5.56,1000.0
2023-03-10,Hold,44400,21.9,22.94,4.27,1000.0
2023-03-21,Buy,44400,21.4,22.68,5.98,1000.0
2023-03-30,Hold,44400,21.9,22.8,4.11,1000.0
2023-04-11,Hold,44400,20.9,21.68,3.73,1000.0
2023-04-24,Hold,44400,20.6,21.55,4.11,1000.0
2023-05-08,Hold,44400,20.1,21.38,4.8,1000.0
2023-05-17,Stop loss,0,19.8,20.7,4.55,880120.0
2023-05-26,Hold,0,20.4,20.66,1.27,880120.0
2023-06-07,Hold,0,20.5,20.56,0.29,880120.0
2023-06-16,Hold,0,21.1,21.04,-0.75,880120.0
2023-06-27,Hold,0,19.8,20.5,3.54,880120.0
2023-07-06,Buy,44600,19.7,20.74,5.28,1500.0
2023-07-17,Hold,44600,19.8,20.22,2.64,1500.0
2023-07-26,Hold,44600,19.7,20.3,3.05,1500.0
2023-08-08,Hold,44600,19.5,20.08,3.51,1500.0
2023-08-18,Hold,44600,19.4,19.94,2.78,1500.0
2023-08-29,Hold,44600,21.0,20.39,-2.9,1500.0
2023-09-07,Hold,44600,21.2,20.78,-1.98,1500.0
2023-09-18,Hold,44600,21.7,21.42,-1.29,1500.0
2023-09-27,Hold,44600,20.5,20.59,-0.05,1500.0
2023-10-06,Hold,44600,20.5,20.8,1.96,1500.0
2023-10-18,Buy,44600,19.0,20.1,5.24,1500.0
2023-10-30,Buy,44600,18.4,19.71,6.54,1500.0
2023-11-08,Hold,44600,18.8,19.37,3.03,1500.0
2023-11-17,Hold,44600,18.4,19.42,4.41,1500.0
2023-11-28,Hold,44600,19.2,20.05,4.43,1500.0
2023-12-08,Hold,44600,18.9,19.23,1.75,1500.0
2023-12-20,Hold,44600,18.4,18.91,2.77,1500.0
SUMMARY,Final Result,44600,N/A,N/A,N/A,880120.0 (-119880.0)
