param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,3.93,8.35,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p12_q12.csv,4.33,8.66,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p12_q16.csv,3.99,8.66,60.0,37.14,37.14,22.86,22.86
ARIMA_d1_p12_q2.csv,4.05,8.74,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p12_q20.csv,4.36,9.17,57.14,40.0,40.0,17.14,17.14
ARIMA_d1_p12_q24.csv,4.44,9.45,60.0,37.14,37.14,22.86,22.86
ARIMA_d1_p12_q3.csv,4.02,8.7,57.14,31.43,31.43,25.71,25.71
ARIMA_d1_p12_q4.csv,3.88,8.46,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p12_q8.csv,3.93,8.22,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p16_q1.csv,3.96,8.43,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p16_q12.csv,4.01,8.46,60.0,34.29,34.29,25.71,25.71
ARIMA_d1_p16_q16.csv,4.1,8.75,54.29,37.14,37.14,17.14,17.14
ARIMA_d1_p16_q2.csv,4.12,8.6,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p16_q20.csv,4.32,9.1,60.0,40.0,40.0,20.0,20.0
ARIMA_d1_p16_q24.csv,4.59,9.46,60.0,37.14,37.14,22.86,22.86
ARIMA_d1_p16_q3.csv,4.01,8.45,57.14,34.29,34.29,22.86,22.86
ARIMA_d1_p16_q4.csv,3.98,8.42,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p16_q8.csv,3.81,8.21,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p1_q1.csv,3.79,7.82,48.57,22.86,22.86,25.71,25.71
ARIMA_d1_p1_q12.csv,4.03,8.85,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p1_q16.csv,3.97,8.48,60.0,40.0,40.0,20.0,20.0
ARIMA_d1_p1_q2.csv,3.79,7.86,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p1_q20.csv,4.27,9.11,62.86,45.71,45.71,17.14,17.14
ARIMA_d1_p1_q24.csv,4.49,9.3,54.29,34.29,34.29,20.0,20.0
ARIMA_d1_p1_q3.csv,3.78,7.82,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p1_q4.csv,3.79,7.78,40.0,11.43,11.43,28.57,28.57
ARIMA_d1_p1_q8.csv,3.93,8.19,40.0,20.0,20.0,20.0,20.0
ARIMA_d1_p20_q1.csv,4.03,8.54,45.71,28.57,28.57,17.14,17.14
ARIMA_d1_p20_q12.csv,4.11,8.54,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p20_q16.csv,4.07,8.8,68.57,42.86,42.86,25.71,25.71
ARIMA_d1_p20_q2.csv,4.06,8.61,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p20_q20.csv,4.32,8.91,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p20_q24.csv,4.3,9.07,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p20_q3.csv,4.08,8.7,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p20_q4.csv,4.06,8.65,48.57,31.43,31.43,17.14,17.14
ARIMA_d1_p20_q8.csv,4.15,8.67,37.14,22.86,22.86,14.29,14.29
ARIMA_d1_p24_q1.csv,4.04,8.68,42.86,25.71,25.71,17.14,17.14
ARIMA_d1_p24_q12.csv,4.07,8.98,65.71,40.0,40.0,25.71,25.71
ARIMA_d1_p24_q16.csv,3.81,8.58,62.86,42.86,42.86,20.0,20.0
ARIMA_d1_p24_q2.csv,4.18,8.88,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p24_q20.csv,3.71,8.41,60.0,40.0,40.0,20.0,20.0
ARIMA_d1_p24_q24.csv,4.1,8.55,51.43,34.29,34.29,17.14,17.14
ARIMA_d1_p24_q3.csv,4.12,8.84,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p24_q4.csv,4.07,8.87,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p24_q8.csv,4.09,8.92,54.29,37.14,37.14,17.14,17.14
ARIMA_d1_p2_q1.csv,3.79,7.86,42.86,20.0,20.0,22.86,22.86
ARIMA_d1_p2_q12.csv,3.82,8.58,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p2_q16.csv,3.95,8.46,57.14,37.14,37.14,20.0,20.0
ARIMA_d1_p2_q2.csv,3.93,7.94,45.71,11.43,11.43,34.29,34.29
ARIMA_d1_p2_q20.csv,4.32,9.21,62.86,45.71,45.71,17.14,17.14
ARIMA_d1_p2_q24.csv,4.57,9.58,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p2_q3.csv,3.94,8.0,40.0,17.14,17.14,22.86,22.86
ARIMA_d1_p2_q4.csv,4.1,8.18,25.71,2.86,2.86,22.86,22.86
ARIMA_d1_p2_q8.csv,3.99,8.25,45.71,20.0,20.0,25.71,25.71
ARIMA_d1_p3_q1.csv,3.73,7.76,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p3_q12.csv,4.08,8.82,48.57,34.29,34.29,14.29,14.29
ARIMA_d1_p3_q16.csv,4.06,8.7,54.29,37.14,37.14,17.14,17.14
ARIMA_d1_p3_q2.csv,3.87,7.9,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p3_q20.csv,4.49,9.42,54.29,37.14,37.14,17.14,17.14
ARIMA_d1_p3_q24.csv,4.52,9.51,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p3_q3.csv,4.0,8.01,45.71,17.14,17.14,28.57,28.57
ARIMA_d1_p3_q4.csv,3.82,7.92,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p3_q8.csv,3.92,8.17,45.71,17.14,17.14,28.57,28.57
ARIMA_d1_p4_q1.csv,3.68,7.61,54.29,31.43,31.43,22.86,22.86
ARIMA_d1_p4_q12.csv,3.87,8.67,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p4_q16.csv,4.03,8.84,51.43,31.43,31.43,20.0,20.0
ARIMA_d1_p4_q2.csv,3.86,7.86,42.86,25.71,25.71,17.14,17.14
ARIMA_d1_p4_q20.csv,4.44,9.21,57.14,40.0,40.0,17.14,17.14
