Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
2018-01-03,4.02,4.16,4.02,4.16,15.05,2.83,0.27,6,198511300,105361100,61294200,31856000,3.92,3.84,3.44,0.06,64.36
2018-01-12,4.3,4.38,4.26,4.36,15.77,2.97,0.27,6,110264300,51694700,39488600,19081000,4.06,3.94,3.49,0.12,72.25
2018-01-23,4.44,4.46,4.22,4.28,15.48,2.91,0.27,6,281484400,118001500,143824100,19658800,4.21,4.05,3.56,0.13,55.9
2018-02-01,4.24,4.24,4.18,4.2,15.19,2.86,0.27,6,65854800,32516000,25734300,7604500,4.21,4.09,3.6,0.04,49.66
2018-02-12,4.2,4.26,4.18,4.26,15.41,2.9,0.27,6,90754500,48091900,32851300,9811300,4.22,4.12,3.64,0.02,54.51
2018-02-21,4.3,4.3,4.22,4.22,18.51,2.87,0.27,6,52196600,13190600,26838700,12167300,4.22,4.15,3.68,0.01,50.03
2018-03-05,4.06,4.08,3.98,4.04,17.72,2.29,0.22,6,79053100,24888500,46095300,8069300,4.18,4.15,3.71,-0.03,35.88
2018-03-14,4.02,4.1,4.02,4.08,17.89,2.32,0.22,6,65370000,33193900,26571700,5604400,4.09,4.1,3.73,-0.06,48.72
2018-03-23,3.96,4.02,3.94,4.0,17.54,2.27,0.22,6,32334100,18194700,9760000,4379400,4.05,4.08,3.75,-0.05,45.66
2018-04-03,3.7,3.7,3.6,3.6,15.79,2.04,0.22,6,123659100,47786300,59492600,16380200,3.94,4.01,3.75,-0.1,25.25
2018-04-17,3.78,3.78,3.7,3.72,16.32,2.11,0.22,6,84582600,40504600,33608500,10469500,3.8,3.91,3.74,-0.11,44.8
2018-04-26,3.9,3.96,3.88,3.9,17.11,2.21,0.22,6,73007300,32629400,33370800,7007100,3.86,3.92,3.75,0.0,51.86
2018-05-08,4.02,4.04,3.96,3.98,17.46,2.26,0.22,6,103660100,20949400,57949700,24761000,3.92,3.94,3.77,0.04,53.65
2018-05-17,4.22,4.24,4.18,4.24,15.32,2.33,0.27,6,122202000,46096400,58950600,17155000,4.02,3.99,3.8,0.09,64.78
2018-05-28,4.36,4.38,4.32,4.36,15.75,2.39,0.27,6,47352800,20658800,22709000,3985000,4.16,4.07,3.83,0.12,65.39
2018-06-07,4.28,4.32,4.24,4.28,15.46,2.35,0.27,6,94392900,51987400,33872100,8533400,4.22,4.13,3.86,0.08,54.23
2018-06-18,4.18,4.2,4.12,4.14,14.96,2.27,0.27,6,68658900,16849600,43563000,8246300,4.22,4.15,3.89,0.02,44.15
2018-06-27,3.92,3.96,3.84,3.86,13.94,2.12,0.27,6,70245900,36433200,26917100,6895600,4.1,4.1,3.89,-0.07,32.83
2018-07-06,3.76,3.86,3.7,3.8,13.73,2.09,0.27,5,55115500,26915000,23592300,4608200,3.97,4.03,3.89,-0.1,40.09
2018-07-17,3.96,4.0,3.94,4.0,14.45,2.2,0.27,5,34788000,13702500,16460100,4625400,3.96,4.01,3.89,-0.03,51.83
2018-07-26,4.04,4.06,3.98,4.0,14.46,2.2,0.27,5,56027400,20328500,25907800,9791100,3.99,4.01,3.9,0.0,50.63
2018-08-08,3.96,3.98,3.86,3.9,14.1,2.14,0.27,5,90132600,32484900,41536700,16111000,3.97,4.0,3.9,-0.01,44.34
2018-08-20,3.8,3.84,3.76,3.8,16.52,2.17,0.22,5,69072800,43923300,19566200,5583300,3.88,3.94,3.89,-0.06,44.27
2018-08-29,3.96,4.0,3.92,4.0,17.39,2.29,0.22,5,59895300,27790100,27393000,4712200,3.88,3.92,3.89,-0.01,57.8
2018-09-07,3.98,4.04,3.96,4.0,17.39,2.29,0.22,5,39806500,21581400,14221600,4003500,3.94,3.95,3.9,0.03,54.9
2018-09-18,4.06,4.28,4.06,4.28,18.61,2.45,0.22,5,366793600,231289900,116802700,18701000,3.99,3.98,3.91,0.06,69.82
2018-09-27,4.26,4.26,4.2,4.24,18.44,2.43,0.22,5,84438600,45357500,28842200,10238900,4.11,4.04,3.93,0.09,61.59
2018-10-08,4.28,4.34,4.12,4.16,18.09,2.38,0.22,4,218676300,84046200,116897400,17732700,4.21,4.12,3.96,0.08,47.83
2018-10-18,4.28,4.3,4.2,4.2,18.26,2.4,0.22,4,81308300,35018200,37313200,8976900,4.22,4.15,3.98,0.04,49.16
2018-10-30,4.04,4.1,4.02,4.06,17.66,2.32,0.22,4,79187800,34601900,36016900,8569000,4.17,4.14,3.99,-0.03,41.1
2018-11-08,4.22,4.26,4.22,4.22,18.35,2.41,0.22,4,71082400,41161200,18981500,10939700,4.18,4.15,4.0,0.0,53.9
2018-11-19,4.1,4.16,4.08,4.1,18.64,2.29,0.21,4,32682100,16032900,11077900,5571300,4.15,4.14,4.01,-0.02,45.15
2018-11-28,4.14,4.16,4.12,4.12,18.73,2.31,0.21,4,13123000,4949400,4259500,3914100,4.12,4.13,4.02,-0.02,49.57
2018-12-11,4.32,4.34,4.22,4.24,19.27,2.37,0.21,4,149212500,65501800,69371400,14339300,4.16,4.15,4.03,0.03,57.22
2018-12-20,4.22,4.24,4.18,4.2,19.09,2.35,0.21,4,33536000,13869000,14399300,5267700,4.18,4.16,4.04,0.02,52.64
2019-01-02,4.28,4.3,4.18,4.22,19.18,2.36,0.21,4,80664000,35485900,34993500,10184600,4.18,4.16,4.05,0.01,52.7
2019-01-11,4.24,4.28,4.24,4.28,19.46,2.39,0.21,4,30321400,12927700,8492900,8900800,4.2,4.18,4.06,0.02,55.76
2019-01-22,4.12,4.2,4.1,4.2,19.17,2.36,0.21,4,86911000,49762000,26194700,10954300,4.18,4.17,4.07,-0.01,51.54
2019-01-31,4.42,4.44,4.36,4.4,20.08,2.47,0.21,0,75077500,31061900,28383100,15632500,4.26,4.22,4.09,0.05,61.11
2019-02-11,4.28,4.3,4.24,4.26,19.44,2.39,0.21,4,61969600,23990200,32179100,5800300,4.29,4.25,4.1,0.03,47.97
2019-02-21,4.2,4.26,4.18,4.22,19.26,2.37,0.21,4,53251200,32556600,15193500,5501100,4.26,4.24,4.11,-0.01,45.98
2019-03-04,4.16,4.18,4.12,4.12,20.4,2.18,0.19,5,42662400,10284800,23954200,8423400,4.24,4.23,4.12,-0.02,38.77
2019-03-13,4.12,4.2,4.12,4.18,20.69,2.21,0.19,5,36926500,22494700,7457400,6974400,4.21,4.22,4.12,-0.03,47.25
2019-03-22,4.22,4.24,4.2,4.2,20.79,2.22,0.19,5,46554300,22980200,16791800,6782300,4.2,4.21,4.13,-0.01,49.98
2019-04-02,4.26,4.28,4.22,4.24,20.99,2.24,0.19,5,74158700,36507100,32527100,5124500,4.21,4.21,4.13,0.0,55.08
2019-04-12,4.18,4.2,4.16,4.18,20.69,2.21,0.19,5,17527600,8704500,2586700,6236400,4.2,4.2,4.14,-0.01,47.19
2019-04-25,4.24,4.28,4.22,4.24,20.99,2.24,0.19,0,50281500,13995700,26305000,9980800,4.21,4.21,4.14,0.01,56.69
2019-05-08,4.24,4.26,4.2,4.2,20.79,2.22,0.19,5,112053400,40628400,52363300,19061700,4.24,4.23,4.15,0.02,44.99
2019-05-17,4.18,4.2,4.14,4.16,23.63,2.23,0.17,5,26713200,11354900,9197000,6161300,4.22,4.22,4.15,-0.01,42.76
2019-05-29,4.34,4.34,4.26,4.26,24.2,2.28,0.17,5,52087500,15678600,30536300,5872600,4.23,4.22,4.16,0.01,53.82
2019-06-10,4.42,4.44,4.4,4.42,25.11,2.37,0.17,5,37526500,14706100,17469200,5351200,4.28,4.25,4.17,0.04,69.57
2019-06-19,4.76,4.78,4.7,4.72,26.81,2.53,0.17,5,153423800,58974700,74427900,20021200,4.41,4.33,4.2,0.11,80.52
2019-06-28,4.76,4.86,4.74,4.74,26.93,2.54,0.17,5,244847400,138098200,83626900,23122300,4.54,4.43,4.23,0.13,72.11
2019-07-09,4.64,4.68,4.56,4.56,26.47,2.5,0.17,5,146224900,43471800,79094000,23659100,4.59,4.48,4.26,0.07,48.57
2019-07-19,4.64,4.74,4.62,4.74,27.52,2.6,0.17,5,131794500,80345100,34828100,16621300,4.62,4.53,4.29,0.04,58.56
2019-07-31,4.66,4.74,4.64,4.68,27.17,2.56,0.17,0,60390600,30418900,21007100,8964600,4.66,4.57,4.32,0.04,51.92
2019-08-09,4.78,4.8,4.68,4.68,20.97,2.56,0.17,5,96348900,28612200,49955700,17781000,4.67,4.6,4.34,0.02,51.67
2019-08-21,4.64,4.7,4.6,4.66,20.88,2.47,0.22,5,56429800,20919800,30253800,5256200,4.66,4.61,4.36,0.0,50.2
2019-08-30,4.96,4.96,4.9,4.92,22.05,2.6,0.22,5,69820500,20830300,33041200,15949000,4.75,4.67,4.4,0.06,68.19
2019-09-10,4.86,4.92,4.86,4.88,21.87,2.58,0.22,5,78958100,36619200,34536200,7802700,4.82,4.73,4.43,0.07,57.26
2019-09-19,4.8,4.8,4.62,4.7,21.06,2.49,0.22,5,151353400,45970300,98690700,6692400,4.8,4.74,4.45,0.0,41.36
2019-09-30,4.78,4.8,4.74,4.76,21.33,2.52,0.22,5,31954800,15117700,11159000,5678100,4.77,4.74,4.47,-0.01,49.36
2019-10-09,4.7,4.74,4.68,4.74,21.24,2.51,0.22,5,47137500,28962000,11066500,7109000,4.72,4.72,4.49,-0.03,51.29
2019-10-21,4.78,4.8,4.76,4.76,21.33,2.52,0.22,5,16677400,7555600,5899100,3222700,4.74,4.73,4.5,0.0,51.79
2019-10-31,4.72,4.74,4.64,4.68,20.97,2.48,0.22,5,74507800,23620500,36585200,14302100,4.72,4.72,4.52,-0.01,45.32
2019-11-11,4.68,4.7,4.64,4.64,19.56,2.45,0.22,5,49310800,17105400,26440600,5764800,4.7,4.71,4.53,-0.02,43.84
2019-11-20,4.56,4.6,4.36,4.44,18.72,2.17,0.23,5,142053000,46417600,80348600,15286800,4.65,4.68,4.53,-0.05,30.27
2019-11-29,4.28,4.28,4.14,4.22,17.79,2.06,0.23,5,100685300,46220200,45037400,9427700,4.51,4.59,4.52,-0.11,27.26
2019-12-12,4.14,4.16,4.08,4.1,17.29,2.01,0.23,5,33848500,14184600,14206700,5457200,4.33,4.47,4.49,-0.15,32.78
2019-12-23,3.96,3.96,3.82,3.84,16.19,1.88,0.23,5,94178700,35663200,46734100,11781400,4.17,4.35,4.45,-0.15,27.45
2020-01-03,3.92,3.94,3.86,3.86,16.27,1.89,0.23,5,75554700,37036000,29556100,8962600,4.05,4.23,4.41,-0.13,31.4
2020-01-14,3.7,3.76,3.66,3.66,15.68,1.82,0.23,5,62521200,26414700,29529200,6577300,3.87,4.09,4.36,-0.15,35.51
2020-01-23,3.14,3.26,3.1,3.12,13.37,1.55,0.23,5,232707700,102717300,109976800,20013600,3.64,3.91,4.29,-0.22,21.9
2020-02-03,3.16,3.18,3.1,3.12,13.37,1.55,0.23,5,103116800,42035900,48030200,13050700,3.45,3.73,4.22,-0.2,29.49
2020-02-13,3.42,3.46,3.4,3.4,14.57,1.69,0.23,5,60940500,27006200,27390600,6543700,3.41,3.64,4.16,-0.08,48.35
2020-02-24,3.28,3.3,3.08,3.08,13.19,1.53,0.23,5,101766600,31428400,58463000,11875200,3.37,3.56,4.11,-0.07,33.73
2020-03-04,2.74,2.92,2.74,2.88,13.33,1.46,0.22,5,90724300,46770800,37806400,6147100,3.14,3.39,4.02,-0.17,37.24
2020-03-13,1.78,2.26,1.68,2.24,10.37,1.14,0.22,5,160002100,82594100,59462000,17946000,2.91,3.2,3.93,-0.24,28.18
2020-03-24,2.24,2.24,2.0,2.06,9.53,1.04,0.22,5,108890700,38179300,58926900,11784500,2.61,2.96,3.81,-0.27,32.43
2020-04-02,2.16,2.2,2.12,2.16,10.0,1.1,0.22,5,1775179300,34606300,15455100,1725117900,2.41,2.76,3.7,-0.21,38.49
2020-04-14,2.86,2.94,2.8,2.9,13.42,1.47,0.22,5,159193000,75213800,62337500,21641700,2.49,2.72,3.62,0.0,64.42
2020-04-23,2.64,2.86,2.64,2.86,13.24,1.45,0.22,5,169968600,92614600,63937100,13416900,2.57,2.71,3.56,0.06,59.73
2020-05-07,2.7,2.74,2.64,2.66,12.31,1.35,0.22,5,83114400,34199600,38012400,10902400,2.63,2.7,3.5,0.05,51.63
2020-05-18,2.78,2.8,2.72,2.74,14.02,1.48,0.2,5,65168100,26569000,31099200,7499900,2.7,2.73,3.45,0.06,52.52
2020-05-27,3.28,3.34,3.14,3.26,16.68,1.76,0.2,5,219721700,103191000,96022000,20508700,2.87,2.82,3.43,0.15,67.2
2020-06-08,3.38,3.4,3.28,3.34,17.09,1.8,0.2,5,114040000,45409100,57149400,11481500,3.03,2.92,3.41,0.16,67.42
2020-06-17,3.36,3.72,3.34,3.64,18.62,1.96,0.2,5,415282500,229310200,162527100,23445200,3.18,3.03,3.41,0.16,68.43
2020-06-26,3.26,3.32,3.22,3.22,16.47,1.74,0.2,5,89099700,38782800,37495600,12821300,3.28,3.13,3.41,0.1,48.0
2020-07-08,3.28,3.34,3.26,3.26,16.68,1.76,0.2,5,61970200,27850700,28154700,5964800,3.29,3.17,3.41,0.04,48.98
2020-07-17,3.16,3.18,3.06,3.1,15.86,1.67,0.2,5,74520700,26416200,42334600,5769900,3.23,3.16,3.39,-0.03,41.4
2020-07-30,3.36,3.36,3.2,3.24,16.57,1.75,0.2,5,68019200,9712600,50299400,8007200,3.25,3.19,3.38,0.01,49.64
2020-08-10,3.34,3.36,3.3,3.32,16.98,1.79,0.2,5,25363400,8701400,13830700,2831300,3.3,3.23,3.38,0.04,51.59
2020-08-20,3.18,3.26,3.18,3.22,19.95,1.68,0.16,4,40353400,18285800,16959100,5108500,3.31,3.26,3.38,0.01,44.9
2020-08-31,3.26,3.3,3.18,3.2,19.83,1.67,0.16,4,44783500,11395800,24310900,9076800,3.29,3.26,3.37,-0.01,43.88
2020-09-11,3.0,3.02,2.92,2.94,18.22,1.53,0.16,4,47938600,15409000,23924000,8605600,3.18,3.2,3.35,-0.08,31.76
2020-09-22,2.9,2.94,2.82,2.82,17.47,1.47,0.16,4,61731000,25612500,28609800,7508700,3.07,3.13,3.32,-0.1,31.41
2020-10-01,2.84,2.84,2.76,2.82,17.47,1.47,0.16,4,28115700,12475300,11599000,4041400,2.96,3.06,3.28,-0.1,36.66
2020-10-12,2.86,2.92,2.84,2.88,17.85,1.5,0.16,4,76379800,43526900,26166500,6686400,2.93,3.02,3.26,-0.05,45.47
2020-10-22,2.52,2.54,2.46,2.5,15.49,1.3,0.16,4,136991900,49415300,38629200,48947400,2.8,2.92,3.22,-0.12,28.29
2020-11-03,2.44,2.46,2.42,2.44,15.12,1.27,0.16,4,59357400,22715700,21863600,14778100,2.65,2.81,3.16,-0.14,31.05
2020-11-12,2.78,2.78,2.7,2.74,16.98,1.43,0.16,4,94157700,34498200,51442900,8216600,2.64,2.76,3.13,-0.03,55.54
2020-11-23,2.96,3.04,2.96,3.04,20.01,1.61,0.15,6,316623500,151786300,129628400,35208800,2.73,2.78,3.11,0.05,67.93
2020-12-02,3.16,3.22,3.14,3.16,20.8,1.67,0.15,6,135566700,60852000,64007000,10707700,2.9,2.87,3.11,0.13,66.1
2020-12-16,3.2,3.34,3.18,3.28,21.59,1.74,0.15,6,302442100,152934600,134685800,14821700,3.02,2.94,3.11,0.12,68.83
2020-12-25,3.06,3.08,3.02,3.04,20.01,1.61,0.15,6,88795400,35655800,47527000,5612600,3.04,2.98,3.11,0.05,50.27
2021-01-07,3.14,3.22,3.12,3.16,20.8,1.67,0.15,6,128037800,63972500,49613600,14451700,3.06,3.0,3.11,0.03,57.08
2021-01-18,3.1,3.12,3.08,3.1,20.4,1.64,0.15,6,29938500,9398100,14735900,5804500,3.08,3.03,3.11,0.02,52.18
2021-01-27,3.08,3.18,3.06,3.16,20.8,1.67,0.15,6,219441100,118298800,89320000,11822300,3.08,3.04,3.11,0.01,56.58
2021-02-05,3.22,3.24,3.14,3.16,20.8,1.67,0.15,6,174156100,69951600,77151300,27053200,3.1,3.06,3.11,0.02,55.31
2021-02-17,3.32,3.34,3.22,3.24,21.32,1.71,0.15,6,75872000,20328800,52084500,3458700,3.18,3.12,3.12,0.06,55.03
2021-03-01,3.16,3.3,3.14,3.26,21.46,1.72,0.17,6,95188800,52671900,35111900,7405000,3.18,3.13,3.12,0.02,56.8
2021-03-10,3.48,3.52,3.42,3.46,20.49,1.8,0.17,5,193946400,94443000,67849200,31654200,3.25,3.18,3.14,0.06,67.17
2021-03-19,3.56,3.6,3.52,3.58,21.2,1.86,0.17,5,64207600,28202600,26476400,9528600,3.37,3.27,3.16,0.1,69.02
2021-03-30,3.48,3.5,3.44,3.46,20.49,1.8,0.17,5,61017600,21696300,33463700,5857600,3.43,3.33,3.19,0.07,53.89
2021-04-09,3.32,3.36,3.28,3.3,19.54,1.71,0.17,5,54646600,28012000,20829300,5805300,3.41,3.34,3.2,0.0,38.06
2021-04-23,3.24,3.32,3.22,3.26,19.31,1.69,0.17,5,56703400,29659500,23197600,3846300,3.35,3.32,3.21,-0.04,40.72
2021-05-06,3.3,3.34,3.26,3.32,19.66,1.72,0.17,5,65016100,27661700,31132500,6221900,3.33,3.32,3.21,-0.02,48.8
2021-05-17,3.06,3.12,3.0,3.08,17.99,1.6,0.17,5,114699100,56877200,49455600,8366300,3.26,3.28,3.21,-0.06,32.7
2021-05-27,3.06,3.12,3.04,3.1,18.11,1.58,0.17,5,132183400,77319400,31292700,23571300,3.17,3.23,3.2,-0.07,42.16
