param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d10_p10_q1.csv,3485104129659798.0,2.6100974166678584e+16,54.29,34.29,31.43,25.71,25.71
ARIMA_d10_p10_q2.csv,3509838750263252.0,4.291537167029283e+16,62.86,37.14,37.14,31.43,28.57
ARIMA_d10_p10_q3.csv,83530036677115.17,1077291387562048.8,60.0,37.14,37.14,25.71,22.86
ARIMA_d10_p4_q1.csv,56.94,142.34,51.43,31.43,31.43,25.71,22.86
ARIMA_d10_p4_q2.csv,2.045111743437183e+16,2.770681130851982e+17,48.57,31.43,31.43,22.86,20.0
ARIMA_d10_p4_q3.csv,21.21,55.2,51.43,40.0,40.0,14.29,14.29
ARIMA_d10_p6_q1.csv,1.5305694414487084e+16,1.961647343428702e+17,51.43,28.57,28.57,25.71,22.86
ARIMA_d10_p6_q2.csv,21.99,54.39,54.29,34.29,34.29,22.86,22.86
ARIMA_d10_p6_q3.csv,25.02,64.43,54.29,34.29,34.29,25.71,22.86
ARIMA_d4_p10_q1.csv,4.2,9.86,57.14,45.71,45.71,11.43,11.43
ARIMA_d4_p10_q2.csv,4.18,9.98,60.0,48.57,48.57,11.43,11.43
ARIMA_d4_p10_q3.csv,39962.68,541353.72,57.14,42.86,42.86,14.29,14.29
ARIMA_d4_p4_q1.csv,4.57,10.35,57.14,37.14,37.14,20.0,20.0
ARIMA_d4_p4_q2.csv,3.76,9.12,60.0,45.71,45.71,14.29,14.29
ARIMA_d4_p4_q3.csv,3.56,8.6,57.14,42.86,42.86,14.29,14.29
ARIMA_d4_p6_q1.csv,4.3,10.27,57.14,40.0,40.0,17.14,17.14
ARIMA_d4_p6_q2.csv,3.48,8.7,60.0,48.57,48.57,11.43,11.43
ARIMA_d4_p6_q3.csv,3.89,9.81,51.43,40.0,40.0,11.43,11.43
ARIMA_d6_p10_q1.csv,195764881.13,1893584503.17,51.43,37.14,37.14,17.14,17.14
ARIMA_d6_p10_q2.csv,5.26,12.28,57.14,34.29,34.29,25.71,22.86
ARIMA_d6_p10_q3.csv,4.59,10.74,54.29,40.0,40.0,14.29,14.29
ARIMA_d6_p4_q1.csv,8.51,21.54,54.29,34.29,34.29,25.71,20.0
ARIMA_d6_p4_q2.csv,5.94,14.4,54.29,40.0,40.0,17.14,14.29
ARIMA_d6_p4_q3.csv,23460652413612.99,227674885172442.6,51.43,37.14,37.14,14.29,14.29
ARIMA_d6_p6_q1.csv,7.06,17.19,60.0,42.86,42.86,20.0,17.14
ARIMA_d6_p6_q2.csv,5.56,12.99,60.0,40.0,40.0,22.86,20.0
ARIMA_d6_p6_q3.csv,3605795586.55,47144105291.82,51.43,37.14,37.14,14.29,14.29
