Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-28,Hold,0,341,345.11,1.21,1000000
2023-01-09,Hold,0,352,350.3,-0.48,1000000
2023-01-18,Hold,0,356,351.4,-1.29,1000000
2023-01-27,Hold,0,340,333.67,-1.86,1000000
2023-02-07,Hold,0,338,334.1,-1.15,1000000
2023-02-16,Hold,0,340,343.06,0.9,1000000
2023-02-27,Hold,0,328,327.47,-0.16,1000000
2023-03-09,Hold,0,331,329.69,-0.4,1000000
2023-03-20,Hold,0,315,313.41,-0.5,1000000
2023-03-29,Hold,0,321,321.16,0.05,1000000
2023-04-10,Hold,0,314,317.7,1.18,1000000
2023-04-21,Hold,0,304,300.56,-1.13,1000000
2023-05-03,Hold,0,325,329.66,1.43,1000000
2023-05-16,Hold,0,337,344.9,2.34,1000000
2023-05-25,Hold,0,330,326.26,-1.13,1000000
2023-06-06,Hold,0,328,325.88,-0.65,1000000
2023-06-15,Hold,0,331,331.41,0.12,1000000
2023-06-26,Hold,0,324,326.39,0.74,1000000
2023-07-05,Hold,0,327,326.09,-0.28,1000000
2023-07-14,Hold,0,328,323.86,-1.26,1000000
2023-07-25,Hold,0,320,318.47,-0.48,1000000
2023-08-07,Hold,0,319,317.96,-0.33,1000000
2023-08-17,Hold,0,317,315.14,-0.59,1000000
2023-08-28,Hold,0,315,315.89,0.28,1000000
2023-09-06,Hold,0,311,312.94,0.62,1000000
2023-09-15,Hold,0,310,309.41,-0.19,1000000
2023-09-26,Hold,0,303,303.72,0.24,1000000
2023-10-05,Hold,0,305,306.78,0.58,1000000
2023-10-17,Hold,0,293,292.2,-0.27,1000000
2023-10-27,Hold,0,293,293.25,0.09,1000000
2023-11-07,Hold,0,293,295.42,0.83,1000000
2023-11-16,Hold,0,290,290.15,0.05,1000000
2023-11-27,Hold,0,290,289.87,-0.04,1000000
2023-12-07,Hold,0,295,296.25,0.42,1000000
2023-12-19,Hold,0,296,296.33,0.11,1000000
SUMMARY,Final Result,0,N/A,N/A,N/A,1000000 (0)
