Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-29,Hold,0,342,347.16,1.81,1000000
2023-01-10,Hold,0,351,354.32,0.66,1000000
2023-01-19,Hold,0,356,358.82,0.79,1000000
2023-01-30,Hold,0,340,342.9,0.85,1000000
2023-02-08,Hold,0,338,338.5,0.15,1000000
2023-02-17,Hold,0,339,343.85,1.13,1000000
2023-02-28,Hold,0,329,333.53,1.69,1000000
2023-03-10,Hold,0,330,335.05,1.22,1000000
2023-03-21,Buy,3100,317,331.09,5.11,17300
2023-03-30,Hold,3100,321,334.91,4.33,17300
2023-04-11,Hold,3100,315,318.76,1.52,17300
2023-04-24,Buy,3100,305,321.28,5.68,17300
2023-05-08,Hold,3100,332,336.53,3.55,17300
2023-05-17,Hold,3100,337,340.9,1.16,17300
2023-05-26,Hold,3100,330,338.16,2.47,17300
2023-06-07,Hold,3100,329,331.7,1.13,17300
2023-06-16,Buy,3100,331,350.46,5.88,17300
2023-06-27,Hold,3100,326,336.73,3.93,17300
2023-07-06,Hold,3100,325,335.91,2.72,17300
2023-07-17,Hold,3100,329,331.94,1.2,17300
2023-07-26,Hold,3100,318,318.34,-0.52,17300
2023-08-08,Hold,3100,320,333.15,4.44,17300
2023-08-18,Hold,3100,317,318.33,0.42,17300
2023-08-29,Hold,3100,315,325.63,3.37,17300
2023-09-07,Stop loss,0,312,316.72,1.84,984500
2023-09-18,Hold,0,310,320.26,3.31,984500
2023-09-27,Buy,3200,304,318.67,5.17,11700
2023-10-06,Hold,3200,304,319.16,4.64,11700
2023-10-18,Buy,3200,293,315.26,7.6,11700
2023-10-30,Hold,3200,290,305.92,4.41,11700
2023-11-08,Hold,3200,294,307.32,4.89,11700
2023-11-17,Hold,3200,290,298.17,2.82,11700
2023-11-28,Hold,3200,291,302.83,4.42,11700
2023-12-08,Hold,3200,294,297.66,0.9,11700
2023-12-20,Hold,3200,296,295.17,-0.28,11700
SUMMARY,Final Result,3200,N/A,N/A,N/A,990900 (-9100)
