Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_5.csv,4.55,0.97,51.43,25.71,25.71,25.71,25.71
ARIMA,ARIMA_d6_p10_q3.csv,3.42,0.83,60.0,34.29,28.57,31.43,31.43
Fundamental,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.68,0.63,60.0,17.14,17.14,42.86,42.86
Fundamental+LDA News,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.78,0.66,54.29,22.86,22.86,31.43,31.43
Fundamental+LDA Twitter,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.65,0.63,57.14,17.14,17.14,40.0,40.0
Fundamental+GDELT V1,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.59,0.63,60.0,14.29,14.29,45.71,45.71
Fundamental+GDELT V2,RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,2.53,0.62,57.14,17.14,17.14,40.0,40.0
Fundamental+LDA News+LDA Twitter,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.61,0.64,65.71,31.43,31.43,34.29,34.29
Fundamental+LDA News+GDELT V1,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.69,0.66,65.71,25.71,25.71,40.0,40.0
Fundamental+LDA News+GDELT V2,RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,2.75,0.65,57.14,28.57,28.57,28.57,28.57
Fundamental+LDA Twitter+GDELT V1,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.66,0.63,60.0,20.0,20.0,40.0,40.0
Fundamental+LDA Twitter+GDELT V2,RandomForest_lags2_lags_past_covariates6_output_chunk_length1.csv,2.73,0.64,65.71,22.86,22.86,42.86,42.86
Fundamental+GDELT V1+GDELT V2,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.65,0.64,62.86,20.0,20.0,42.86,42.86
Fundamental+LDA News+LDA Twitter+GDELT V1,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.71,0.67,68.57,28.57,28.57,40.0,40.0
Fundamental+LDA News+LDA Twitter+GDELT V2,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.68,0.63,60.0,25.71,25.71,34.29,34.29
Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.64,0.67,65.71,25.71,25.71,40.0,40.0
Fundamental+LDA Twitter+GDELT V1+GDELT V2,RandomForest_lags6_lags_past_covariates6_output_chunk_length1.csv,2.73,0.66,65.71,25.71,25.71,40.0,40.0
Fundamental+LDA News+LDA Twitter+GDELT V1+GDELT V2,XGBModel_lags10_lags_past_covariates2_output_chunk_length1.csv,2.68,0.67,62.86,25.71,25.71,37.14,37.14
