param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
window_size_10.csv,5.59,9.97,57.14,37.14,34.29,25.71,25.71
window_size_15.csv,7.53,11.56,60.0,34.29,31.43,31.43,31.43
window_size_20.csv,8.38,12.74,57.14,40.0,34.29,25.71,25.71
window_size_5.csv,6.0,9.8,60.0,28.57,25.71,37.14,37.14
