param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
window_size_1.csv,3.55,4.41,100.0,57.14,57.14,48.57,48.57
window_size_12.csv,7.4,9.19,57.14,42.86,42.86,20.0,14.29
window_size_16.csv,8.67,10.52,60.0,45.71,45.71,22.86,14.29
window_size_2.csv,3.97,5.02,54.29,25.71,25.71,28.57,28.57
window_size_20.csv,9.95,12.09,62.86,51.43,51.43,20.0,11.43
window_size_24.csv,11.13,13.28,62.86,54.29,54.29,17.14,8.57
window_size_3.csv,4.68,5.78,57.14,31.43,31.43,25.71,25.71
window_size_4.csv,5.09,6.43,51.43,25.71,25.71,28.57,25.71
window_size_8.csv,6.38,8.18,60.0,40.0,40.0,22.86,20.0
