Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,2,2022-01-04,117.25
1,2022-01-04,2,2022-01-13,117.25
2,2022-01-13,2,2022-01-24,117.75
3,2022-01-24,2,2022-02-02,115.5
4,2022-02-02,2,2022-02-11,111.5
5,2022-02-11,2,2022-02-23,106.62
6,2022-02-23,2,2022-03-04,103.25
7,2022-03-04,2,2022-03-15,102.25
8,2022-03-15,2,2022-03-24,102.75
9,2022-03-24,2,2022-04-04,104.0
10,2022-04-04,2,2022-04-19,105.38
11,2022-04-19,2,2022-04-28,104.75
12,2022-04-28,2,2022-05-11,105.88
13,2022-05-11,2,2022-05-23,105.38
14,2022-05-23,2,2022-06-01,105.62
15,2022-06-01,2,2022-06-13,107.62
16,2022-06-13,2,2022-06-22,106.25
17,2022-06-22,2,2022-07-01,107.12
18,2022-07-01,2,2022-07-12,107.12
19,2022-07-12,2,2022-07-22,108.12
20,2022-07-22,2,2022-08-04,109.88
21,2022-08-04,2,2022-08-16,111.75
22,2022-08-16,2,2022-08-25,112.5
23,2022-08-25,2,2022-09-05,110.5
24,2022-09-05,2,2022-09-14,107.56
25,2022-09-14,2,2022-09-23,104.0
26,2022-09-23,2,2022-10-04,99.19
27,2022-10-04,2,2022-10-17,93.38
28,2022-10-17,2,2022-10-27,89.5
29,2022-10-27,2,2022-11-07,87.44
30,2022-11-07,2,2022-11-16,87.5
31,2022-11-16,2,2022-11-25,90.69
32,2022-11-25,2,2022-12-07,93.19
33,2022-12-07,2,2022-12-19,94.12
34,2022-12-19,2,2022-12-28,95.06
