,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,57.72
0,2022-01-04,7,2022-01-13,59.28
0,2022-01-13,7,2022-01-24,60.74
0,2022-01-24,7,2022-02-02,60.35
0,2022-02-02,7,2022-02-11,57.0
0,2022-02-11,7,2022-02-23,57.14
0,2022-02-23,7,2022-03-04,56.2
0,2022-03-04,7,2022-03-15,47.71
0,2022-03-15,7,2022-03-24,52.36
0,2022-03-24,7,2022-04-04,53.27
0,2022-04-04,7,2022-04-19,51.3
0,2022-04-19,7,2022-04-28,48.43
0,2022-04-28,7,2022-05-11,53.24
0,2022-05-11,7,2022-05-23,49.7
0,2022-05-23,7,2022-06-01,48.9
0,2022-06-01,7,2022-06-13,45.21
0,2022-06-13,7,2022-06-22,46.35
0,2022-06-22,7,2022-07-01,43.59
0,2022-07-01,7,2022-07-12,43.76
0,2022-07-12,7,2022-07-22,45.11
0,2022-07-22,7,2022-08-04,45.0
0,2022-08-04,7,2022-08-16,42.94
0,2022-08-16,7,2022-08-25,49.95
0,2022-08-25,7,2022-09-05,47.06
0,2022-09-05,7,2022-09-14,42.02
0,2022-09-14,7,2022-09-23,45.36
0,2022-09-23,7,2022-10-04,43.64
0,2022-10-04,7,2022-10-17,37.48
