Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-28,Hold,0,213.0,216.76,1.77,1000000
2023-01-09,Hold,0,224.0,217.78,-2.78,1000000
2023-01-18,Hold,0,208.0,203.49,-2.17,1000000
2023-01-27,Buy,4700,212.0,225.4,6.32,3600.0
2023-02-07,Hold,4700,214.0,212.89,-0.52,3600.0
2023-02-16,Hold,4700,215.0,207.14,-3.66,3600.0
2023-02-27,Hold,4700,214.0,215.39,0.65,3600.0
2023-03-09,Hold,4700,215.0,217.48,1.15,3600.0
2023-03-20,Hold,4700,211.0,213.11,1.0,3600.0
2023-03-29,Hold,4700,223.0,215.42,-3.4,3600.0
2023-04-10,Hold,4700,236.0,234.64,-0.58,3600.0
2023-04-21,Hold,4700,240.0,233.92,-2.53,3600.0
2023-05-03,Hold,4700,243.0,243.19,0.08,3600.0
2023-05-16,Hold,4700,244.0,242.44,-0.64,3600.0
2023-05-25,Hold,4700,232.0,236.56,1.97,3600.0
2023-06-06,Hold,4700,234.0,230.81,-1.36,3600.0
2023-06-15,Hold,4700,235.0,232.01,-1.27,3600.0
2023-06-26,Hold,4700,226.0,220.87,-2.27,3600.0
2023-07-05,Hold,4700,223.0,223.54,0.24,3600.0
2023-07-14,Hold,4700,220.0,217.68,-1.05,3600.0
2023-07-25,Hold,4700,215.0,212.48,-1.17,3600.0
2023-08-07,Hold,4700,225.0,230.65,2.51,3600.0
2023-08-17,Hold,4700,260.0,260.56,0.22,3600.0
2023-08-28,Hold,4700,255.0,254.68,-0.13,3600.0
2023-09-06,Hold,4700,256.0,263.68,3.0,3600.0
2023-09-15,Hold,4700,258.0,265.26,2.81,3600.0
2023-09-26,Hold,4700,267.0,262.32,-1.75,3600.0
2023-10-05,Hold,4700,263.0,261.33,-0.63,3600.0
2023-10-17,Hold,4700,259.0,257.98,-0.39,3600.0
2023-10-27,Hold,4700,256.0,248.78,-2.82,3600.0
2023-11-07,Hold,4700,252.0,252.37,0.15,3600.0
2023-11-16,Hold,4700,221.0,220.67,-0.15,3600.0
2023-11-27,Hold,4700,219.0,227.07,3.68,3600.0
2023-12-07,Hold,4700,217.0,212.91,-1.88,3600.0
2023-12-19,Sell,0,218.0,205.25,-5.85,1028200.0
SUMMARY,Final Result,0,N/A,N/A,N/A,1028200.0 (+28200.0)
