Date,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,topic_125,topic_126,topic_127,topic_128,topic_129,topic_130,topic_131,topic_132,topic_133,topic_134,topic_135,topic_136,topic_137,topic_138,topic_139,topic_140,topic_141,topic_142,topic_143,topic_144,topic_145,topic_146,topic_147,topic_148,topic_149
2018-01-01,3.34982894,1.56260735,1.64794862,4.13303491,3.03910128,5.04469491,2.76615733,2.03897901,5.16529132,5.25014964,1.28800798,1.45218927,3.50786392,11.15797001,3.27724793,2.11394213,1.92142053,2.54838778,2.14509607,5.93863567,1.60469134,4.45233857,2.88411064,1.99010813,3.84893615,2.76042722,3.72197415,1.62578147,3.28161364,2.37954194,2.69334527,2.6452087,1.41745198,2.18136145,1.38138066,1.51221977,2.79945128,2.02017768,2.99070003,2.44524818,1.04302131,2.09663213,3.23549651,5.26476977,4.75041452,3.2781094,2.58450014,6.75594542,4.15443608,1.69869766,3.46464879,3.4342465,2.35576291,4.21951871,2.04840403,2.18827228,3.46237397,1.06790219,3.53685597,3.54579519,3.5859389,2.81218938,3.24197078,1.96123107,2.89255973,3.1703767,4.82146922,1.96335435,1.17442304,5.10798694,6.00380626,3.61865138,1.11819946,1.89430168,2.58880948,3.23012624,1.82388163,2.93227645,1.17944277,3.93850513,1.62490923,11.2547015,3.48148641,6.08030596,3.01513206,2.30087969,3.09836023,5.54070015,0.74599139,3.69860455,2.87676318,3.72677584,4.40268401,2.08469747,3.94851733,3.61238235,3.42824444,4.84458631,2.25963156,2.54084197,9.80863693,1.73050301,3.77291152,3.09914923,2.76277898,5.27977706,1.11600869,1.86301306,7.38611676,4.13331879,3.86547811,2.73488717,7.13144558,1.45629683,2.83567179,2.62370394,4.2600919,4.26840533,2.33746702,1.62839876,1.89900098,1.91437105,3.02167667,1.80377225,1.89723464,4.18440562,2.53892768,3.78560517,2.40566959,4.27966355,2.61662442,3.89540215,2.03237061,2.92659297,2.75415776,2.05299883,4.13007313,2.93185077,5.05707179,7.13968533,11.61032567,2.16079869,2.9239476,5.72650422,2.73616173,1.20748386,1.95691741,2.66824221,2.68670182,5.16557964
2018-01-02,2.58307864,1.28136179,1.12818764,3.83952172,2.37812688,1.82914389,0.90140668,1.15228192,4.39207404,4.06792397,0.90264319,1.16208088,2.96797123,4.38027037,1.9137154,0.87125008,2.25690187,1.65046287,1.46939344,3.96256318,1.10945268,2.80999427,2.74013873,1.17541407,2.71260579,1.39035666,2.60073124,1.5672595,2.10997989,1.4716594,1.89386425,2.19874706,1.37490037,1.17291885,1.32892883,1.63795141,1.34261453,1.123852,1.36624611,2.73068529,0.68315202,1.1854907,2.88765145,2.79104873,3.44512794,1.25198393,2.92082284,4.38059556,2.58182654,1.54505705,2.05215905,3.09649856,2.10703008,2.63572999,2.65064087,2.16325343,3.30105866,1.86228913,2.89533921,2.30761362,2.52813457,1.97924745,3.33242799,1.16738757,1.58468074,1.96886491,4.4534568,1.19322301,1.04221879,3.13385768,4.08799372,2.04494539,1.42928737,0.98489695,2.90974309,3.19443445,1.52858378,2.05101222,1.51993073,1.4520177,0.89635327,7.31628026,1.40259366,3.51023341,2.06659258,1.53064058,1.45771472,3.11295144,1.25485376,2.64866679,1.12428505,2.67163698,3.23675041,2.33114317,3.60849138,1.22082879,2.90695298,5.18242453,1.90213592,2.97209666,7.56524617,1.25422643,3.14162127,1.77889586,1.8225603,2.9103947,1.0742006,2.0824669,4.39033188,3.70025139,1.76836384,2.213462,4.62485751,1.51145712,2.47979158,1.43750815,3.31550471,1.84667803,1.47356342,2.07165062,1.23382387,0.80573243,1.56363366,1.21100322,0.56898388,2.70530607,1.55246068,1.96734127,0.97674397,3.87426172,1.76744601,2.46029779,1.47675439,2.05924473,1.19971519,0.81263272,2.48447496,3.08507582,3.57904993,6.47001269,8.60578555,0.99916897,1.42177635,3.27506726,2.23109212,1.53062747,1.45421891,2.00150021,1.97632886,2.55440645
2018-01-03,0.89929698,0.40295125,0.67791097,0.8055934,0.99241999,1.42379074,1.3264281,0.23133309,1.33556101,1.55512888,0.46829599,0.39142469,0.29060775,3.30455975,1.3186045,0.31760555,0.92630594,1.27392417,0.47416785,1.23292972,0.4858625,2.03939271,0.82311089,0.35913901,1.56774307,0.79006599,0.77189382,0.77866818,0.64490503,0.87931051,0.68639042,1.43466577,0.2600593,0.41487008,0.78648469,0.22794581,1.47595779,0.80171847,0.54014896,0.84297465,0.50229197,0.71749686,1.32097503,2.39328755,1.51292982,0.64507194,1.47469728,1.91366985,1.28834916,0.38359024,1.60940439,1.84878103,0.99591031,2.23043452,0.72582517,0.55202811,1.32095059,0.76934844,1.79138106,0.51952561,1.31492165,0.93894403,1.14692027,0.51561227,0.43167152,1.29705704,1.08043728,0.26915977,0.51699193,1.47348771,1.64102747,0.65697009,0.48027363,0.49315574,0.80522722,1.62817501,0.79268746,0.57713165,0.64438222,0.60703205,0.30257752,3.07081691,0.69282463,1.68774419,1.14560286,1.07975871,1.1749281,1.06074453,0.56912103,0.37791715,0.51757246,1.01081498,1.30912104,0.58344248,0.59820893,0.7578432,1.04920045,1.46543281,0.61976396,1.59549653,2.85516449,0.3225327,1.95912703,0.82637421,0.7872211,1.92892904,0.43712361,0.48545788,1.09827187,1.49828947,0.73600481,0.63842653,1.4297323,0.81911276,1.2286161,0.96511979,1.59880797,0.84776111,0.45441159,0.94583834,0.54608904,0.57589913,1.1637882,0.30725377,0.48586691,1.04661453,1.10818217,1.31109319,0.6962967,1.20934219,0.57683514,1.10086715,0.60958602,0.72178044,0.70115396,0.53931415,1.27349274,0.70647626,1.89608783,1.45055288,3.53457072,0.54611335,1.37584454,1.34928952,0.67495125,0.24068379,0.39460523,0.63896616,1.14045888,1.45932642
2018-01-04,1.78381516,1.34521289,1.27338125,3.42468646,1.76072959,3.69299956,1.52502833,1.19563825,3.67092878,2.6715872,0.68499215,1.07807933,1.81870595,6.01352175,2.42429085,1.12483203,1.26197579,1.76411657,1.04906536,2.97028983,0.79284412,3.4623698,2.55338585,1.28607223,3.74796674,2.16917887,1.92826709,1.63154607,1.03989814,2.02627877,2.05628383,2.1771611,1.16353884,1.35583444,1.41685195,1.46525394,1.27127271,0.73025024,1.49206529,1.43287555,0.78057642,0.90367078,1.87568521,3.87009693,2.87124254,2.06385093,2.67037763,3.18874413,2.31262444,1.37140726,2.84890132,1.6229068,1.80985944,2.84128496,1.24275038,1.58632754,2.01139914,1.19400779,1.50500343,2.39244814,2.42032133,1.995195,2.36673743,1.04182567,1.3093484,1.8755789,2.52471927,1.24503317,0.73753583,2.94890729,5.51328589,2.43588633,0.77598323,1.0939399,1.60648525,3.43057085,1.31843021,2.32627346,1.81296087,1.03561398,0.46604996,6.48726229,1.79055931,3.59515302,1.66868592,1.63790575,1.67529986,3.1345892,0.60220849,2.60378746,0.99692966,1.7220025,2.88890022,1.5816221,2.03756094,1.82669629,2.35835604,2.71903472,1.57522097,2.7390258,4.81582532,0.57537168,2.07717868,2.11637342,1.07064772,2.56142062,1.40683789,1.00342019,5.20926421,2.10841852,1.13640724,1.54604685,3.91679809,1.14915686,1.46276078,1.1903591,2.61977641,2.31694188,1.28918109,1.43225039,1.49181818,1.06727124,1.94448448,0.49083508,1.31437636,1.189763,1.78805653,1.7286447,1.32876402,3.0871371,0.91092262,1.15093936,0.59826074,1.14983846,1.21988282,1.35523724,1.42748359,1.58323595,3.78030953,3.77279317,8.82183624,0.68582723,1.04698946,4.8282676,1.46952294,1.25563136,1.287279,1.82406651,2.536953,2.24141624
2018-01-05,1.18760341,1.68708811,1.52912014,3.57269556,1.36113217,2.21147093,1.74452567,1.42684652,2.89985494,5.51451516,1.32409529,1.34478493,2.49826238,7.89045532,1.35296575,0.97385727,1.23311412,2.00555245,1.92004124,3.53212151,1.69570253,5.94907721,2.1356568,2.05790582,2.76213753,1.9549567,1.40388911,1.99798368,1.24008709,1.913915,1.65803773,2.98396383,0.53700899,1.21683394,0.93059446,1.65229964,1.67726519,1.24436556,2.45043499,2.35449991,1.00601,1.20195518,3.43318129,3.18821017,1.98009834,1.39922628,1.90918862,3.29636972,3.49780694,1.49744959,2.09236195,1.75561027,1.18399001,3.20307389,1.64424411,1.46234815,2.52456884,1.05382543,2.53388972,2.30698412,2.97968049,3.34891848,2.71233378,2.37657331,1.20549329,3.03658865,3.63870263,1.28983517,0.76244417,4.18772565,5.98608034,1.89810988,1.29468755,0.75708693,1.98035469,2.96166849,1.09402448,1.9654693,1.99343265,1.61214092,0.62099972,5.08844557,1.84709916,3.62588366,1.99895894,2.67456405,1.48780828,4.21847356,1.37721984,2.77603778,1.06971109,2.61974706,2.96236806,1.48098917,2.60332811,1.79069692,2.29854342,3.43056565,1.17789299,2.1268839,6.44329583,1.34847082,3.51477366,2.34082635,1.51995635,2.57649132,1.60296565,1.62641347,3.25644314,4.58242984,2.27580256,1.62210675,4.46253752,0.92312011,2.80150445,1.62819757,2.0410823,2.43469177,1.66709106,2.44687617,1.44844952,1.09635808,1.20898587,1.62138734,0.72694153,3.70661216,1.71746738,3.30696853,3.98223414,2.83099005,1.79410457,2.42530417,0.84046672,1.42091145,1.8329817,1.50333529,2.65172946,2.71882709,2.63346638,4.62833918,8.49006913,0.77597512,1.25999375,3.76528849,2.05398667,2.06903762,1.2611158,1.38653108,3.03909709,4.13328973
2018-01-06,1.4174055,1.00535771,0.78133935,1.8663736,2.00707026,2.38420387,1.38358685,0.91386728,2.10543163,2.04623954,1.79796428,0.65671247,0.52582507,4.06496529,1.18923066,1.22897724,1.71011671,1.50003358,1.98629393,3.24115426,0.24670476,1.66421733,1.89085724,0.57768109,1.65695054,1.6589326,0.99363146,0.93486145,0.8472366,1.21297394,1.21818205,1.39986319,0.58004377,0.75190466,0.41756359,0.61454179,0.80286634,0.44669936,1.58274486,1.48009267,0.72185765,0.52442124,1.95317191,1.71738388,1.28946995,0.64820347,0.72414665,2.57302278,1.95836353,0.32366235,1.87470969,1.31393971,1.70955301,1.66150902,0.66588458,0.94232059,1.54958313,0.9183551,1.24512866,1.7198672,1.34863731,1.4454779,2.18504364,0.9889841,1.22888905,1.19491296,2.32276774,0.73931226,0.4091957,1.81656366,3.11268822,0.75443216,1.6189808,0.33771991,0.63845834,1.52613717,1.10642132,1.93494144,0.49030217,0.87952024,0.7580877,3.88963758,0.99232918,3.03835805,1.2950715,0.85058923,0.84361772,2.59932549,0.65698465,1.57521076,1.12424006,1.72524838,1.71012207,0.67871026,2.1842091,1.21121553,0.81661748,1.97006003,0.9084646,1.82694919,3.38533847,1.36922271,1.72642276,2.24272678,1.07173032,1.85644751,0.6883748,0.78270038,3.3681546,1.5589439,1.98046349,1.26628684,2.83626781,0.58808991,1.13328681,1.53272366,1.57011232,1.66282511,0.68440464,1.38923333,0.969661,0.71857008,1.39051632,0.31816504,0.46666062,1.50829622,0.63775773,1.04109273,1.14185673,2.63514767,0.74688122,1.71633998,0.532418,1.49651179,0.89861267,0.94878506,1.75851213,0.78981312,1.06561882,1.57586062,6.26601031,0.4872968,1.66131074,1.63259839,2.08695662,0.61540375,1.18240631,1.19447583,1.90394897,1.35907248
2018-01-07,1.24795724,1.03021653,0.66129743,3.52389224,1.65618449,2.12008243,0.50659977,0.89716809,1.91551795,2.25050282,0.60724024,0.71524811,1.48516281,2.60984349,1.56004628,1.16182498,1.02037865,1.14864157,1.45445638,2.50979174,1.09190251,2.13071185,0.71686586,0.7351575,1.72281029,1.51406676,0.84091979,1.06050883,0.84467259,1.24415507,0.61171677,1.38984349,0.8111617,0.48850627,0.49456051,0.51862137,0.63694214,0.48351066,0.94158117,1.33504717,0.41038586,0.69665522,1.47892551,1.96857133,2.32570383,1.09125777,1.68540574,2.4004136,1.47149121,0.41139903,1.57000214,1.21356081,0.69605122,1.33680295,0.76579535,0.81791642,1.22779894,0.56212701,0.7858774,1.74875784,1.43647357,1.37301186,1.90351669,0.76045742,0.62061978,0.91718498,2.11815755,0.5278206,0.22781528,2.56845195,2.3193774,0.901112,0.50878232,0.56374442,1.71778869,1.57372129,0.95997092,2.53575229,1.15470716,0.93315992,0.60283229,4.66114115,1.30647484,1.67358424,0.40628231,0.99571182,0.59171986,2.05638114,0.57631259,0.73189449,1.01150645,1.54645001,1.7367948,1.24750844,2.20473244,0.71920404,1.81740136,2.13031579,1.14364188,2.82890008,3.39968185,0.45006819,1.4518301,1.59623814,0.93478566,1.77388519,0.31103272,1.57789863,1.99388631,1.04511878,1.4112345,0.80842626,3.15552034,0.22781528,0.84769215,1.27813566,2.15121309,0.91607427,0.51544554,1.03189957,0.55497607,0.63854357,1.0916094,0.67783526,0.22781528,0.94990623,1.20828939,1.24570864,1.11917049,1.74944856,2.13078782,0.86209386,0.52990042,1.1062866,0.65551655,0.78618957,1.69260217,1.6697992,1.38104668,2.26824013,4.95048017,1.13228376,0.86161722,1.85170873,1.38563867,0.48181053,0.41843742,0.89879259,1.24503871,1.37991455
2018-01-08,1.96482133,1.00867167,1.3927089,2.9766358,3.01386383,2.56136512,1.14763108,1.37202454,2.36944248,3.52358167,0.54610268,0.90784602,1.20464428,3.70978552,2.19339331,0.84912704,0.9870204,2.23102112,1.7999683,3.23332604,0.76129062,1.78781963,1.19989166,1.07969662,2.10559607,2.93044655,1.0669654,2.11959811,1.84171687,1.06534189,2.76105432,1.01757346,0.42209988,1.03994415,0.83261581,1.75152455,0.81251998,0.6549813,1.56864011,2.13561383,1.28302911,0.83487072,2.20805748,3.16850231,2.59323779,1.9302117,1.92713856,3.18219841,2.35065684,1.1327665,1.79684198,1.94850459,0.9359225,2.45812179,1.19700153,1.92604614,1.07731017,1.89799737,2.11481912,2.46006984,2.17555066,1.56959613,3.50667677,0.78993998,1.66895357,1.48624799,2.68496864,1.91345933,0.50390231,2.47217927,4.12316891,2.01832,1.00110945,1.63563813,0.92041796,3.10392041,1.01423361,1.41690736,1.34897576,1.14187414,0.88148407,6.78858274,2.01820259,4.21343306,1.21687937,1.15566008,1.03421189,1.9907372,0.79683875,2.90349342,0.87761818,1.61971378,2.6382151,2.15210946,3.36519431,0.76053066,1.32756509,2.97446404,1.42992382,2.04923975,4.12414077,0.90086228,1.84118594,1.7505881,1.97315991,1.61194308,0.8970799,1.19199685,3.36815342,0.96004624,1.55598199,1.54553527,3.5727756,0.63170585,1.87993254,1.5950172,2.01804954,1.65796381,2.03018971,1.61061901,0.93978893,0.86745173,1.65856261,1.20447246,0.63638348,0.9970766,2.08960832,2.99050328,0.92447185,3.20727934,2.05879218,2.86578392,0.88124786,1.6119431,0.74779511,1.22969779,2.71477458,1.32054903,2.57625243,4.40958834,5.1162551,0.84658849,1.66997307,2.40550957,1.77865388,1.28556169,0.95826488,1.85158586,2.09208597,2.28521911
2018-01-09,2.72673184,2.28255713,1.62749132,4.17973587,2.28301772,2.83094573,2.36665223,1.91989389,3.07620669,3.25110298,2.32276673,1.96083298,2.95275459,6.95283353,3.11479366,2.45057967,2.06704249,2.71674252,2.97873226,5.78288253,1.68120967,3.72750722,2.56506663,0.99428382,2.99144907,3.957052,1.82470653,1.99792934,2.76884736,1.408375,2.87719578,3.22879964,1.5435525,1.54431099,0.90196692,1.59712619,2.4535075,1.8372882,1.30825139,3.62799376,1.49847913,1.52045187,2.05252149,3.21292811,3.68789156,2.01078232,2.27044481,3.79766974,3.40078626,1.49129088,3.78513364,2.04167172,2.90506124,2.90087379,1.60376836,2.45681123,3.11383147,2.50931186,2.25068385,2.70082323,3.13014369,2.3459518,2.74938416,0.94000083,1.36176459,1.99003411,4.96331261,1.75118329,1.12722896,2.89775587,5.00556568,2.82238374,1.45392075,0.94716656,2.15297794,4.72299722,1.94563664,2.43690919,3.04466659,2.39429425,1.17425471,10.75492917,1.89804257,4.27222707,2.00802808,2.12428006,2.10792477,2.70613656,0.82752684,2.14073428,1.49794144,1.65839429,3.28255207,1.90676672,3.05377804,2.14443167,2.31429597,3.44131087,1.30870429,2.08101109,9.1344034,2.1403935,2.97103811,2.93250175,2.10748835,4.00987883,0.77688762,2.07330343,4.07591002,5.27704301,2.41479483,2.10355951,4.36956823,1.82387481,4.35434011,1.60438305,4.4053255,3.16300203,1.52525473,1.58715634,1.58309281,1.17700173,2.71705883,2.19644753,1.54811644,2.96778392,2.12512088,4.12347801,1.99340232,3.25265257,2.52761659,2.57829803,1.839714,3.08264674,1.51667412,1.70963996,2.8485739,2.66361443,3.82072127,4.03080377,11.46226305,0.76561146,2.57631234,4.08013832,3.25237791,1.43325187,1.68930812,2.1121348,2.86369275,2.83386372
2018-01-10,0.88329287,0.82408334,0.34965531,1.88525574,1.00204628,1.82316146,0.89557855,0.88786803,2.47518056,2.43161774,0.54430621,0.84731082,1.41313487,3.24974522,1.2912364,1.24722333,0.70241936,1.62686563,0.91889753,2.17007361,0.64263463,1.97310246,1.01929194,0.61549291,2.17884128,0.99171645,0.84038679,1.05552309,0.80380584,0.8797313,0.62236431,1.58641234,0.40700613,0.67686173,0.26279585,0.99424785,1.11396741,0.75370304,0.85318439,0.81389936,0.56005525,0.29579957,1.2322926,1.5831807,1.24192683,1.10419831,1.33181049,2.88711731,3.21264868,0.74795994,1.25400178,0.64015408,1.45762372,1.50870331,0.53770454,1.41121131,0.67940126,1.08644204,1.18047464,1.03800433,1.09891111,1.5196964,1.41785546,0.58455238,0.69198528,0.67673121,2.17104976,0.39579441,0.43389198,1.59469371,2.6946234,0.51721304,0.31345765,0.4386597,0.91508052,1.5087484,0.37269281,1.02344958,0.47834646,1.10496505,0.91661163,4.79274686,1.22404919,1.39539087,1.22899959,0.86099792,0.3315505,0.74039761,0.59587974,0.64386397,0.84532653,1.51528662,1.04199058,0.60878607,0.88786565,1.05555399,1.15171183,1.51483275,0.82376714,1.09235371,3.65989781,0.60727001,0.88573467,0.94424414,1.23153696,0.84995371,0.8513701,0.86650678,2.00889152,0.97260305,0.80102836,0.4727581,1.79649817,0.6212499,1.85261181,0.71634739,0.87879724,0.74832342,0.56851697,0.88961772,0.77292654,0.56903853,0.79995678,0.73955594,0.57353946,0.64678542,1.26124492,2.0933885,0.90384927,1.06221837,1.21803035,1.54564688,0.5773749,0.80207862,0.40689892,2.04255684,0.99188751,0.88202822,1.80175019,1.62551746,3.97381732,0.50132288,0.92269351,1.53548393,1.37090196,0.98171125,0.54072029,0.89506374,2.37217113,0.60108895
