ADVANC
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ADVANC,Moving Average,window_size_1.csv,2.09,6.29,100.0,48.57,48.57,65.71,65.71
ADVANC,ARIMA,ARIMA_d1_p1_q1.csv,2.03,6.2,68.57,34.29,34.29,34.29,34.29
ADVANC,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags24_lags_past_covariates3_output_chunk_length1.csv,2.26,6.0,68.57,28.57,28.57,40.0,40.0
BANPU
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BANPU,Moving Average,window_size_2.csv,3.02,0.51,62.86,31.43,31.43,31.43,31.43
BANPU,ARIMA,ARIMA_d1_p2_q4.csv,3.47,0.5,48.57,22.86,22.86,25.71,25.71
BANPU,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags24_lags_past_covariates16_output_chunk_length1.csv,3.51,0.59,62.86,25.71,25.71,37.14,37.14
BH
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BH,Moving Average,window_size_1.csv,3.07,7.95,100.0,65.71,65.71,42.86,42.86
BH,ARIMA,ARIMA_d1_p4_q1.csv,3.1,8.03,54.29,34.29,34.29,20.0,20.0
BH,Fundamental+LDA News+GDELT V1+GDELT V2,LinearRegressionModel_lags20_lags_past_covariates8_output_chunk_length1.csv,3.26,7.23,62.86,34.29,34.29,31.43,28.57
BTS
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
BTS,Moving Average,window_size_1.csv,1.8,0.21,100.0,45.71,45.71,62.86,62.86
BTS,ARIMA,ARIMA_d1_p4_q3.csv,1.77,0.21,60.0,31.43,31.43,28.57,28.57
BTS,Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags3_lags_past_covariates4_output_chunk_length1.csv,2.37,0.25,57.14,40.0,40.0,17.14,17.14
CBG
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
CBG,Moving Average,window_size_1.csv,3.55,4.41,100.0,57.14,57.14,48.57,48.57
CBG,ARIMA,ARIMA_d1_p4_q4.csv,3.48,4.35,65.71,37.14,37.14,28.57,28.57
CBG,Fundamental+LDA News+GDELT V1+GDELT V2,LinearRegressionModel_lags24_lags_past_covariates3_output_chunk_length1.csv,3.9,4.71,60.0,37.14,25.71,34.29,34.29
CPALL
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
CPALL,Moving Average,window_size_1.csv,2.8,2.02,100.0,62.86,62.86,42.86,42.86
CPALL,ARIMA,ARIMA_d1_p24_q8.csv,2.76,2.12,60.0,31.43,31.43,28.57,28.57
CPALL,Fundamental+LDA News+GDELT V1+GDELT V2,LinearRegressionModel_lags12_lags_past_covariates4_output_chunk_length1.csv,2.63,1.99,68.57,45.71,42.86,25.71,25.71
CPF
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
CPF,Moving Average,window_size_1.csv,2.32,0.87,100.0,54.29,54.29,65.71,65.71
CPF,ARIMA,ARIMA_d1_p2_q1.csv,2.3,0.83,68.57,42.86,42.86,25.71,25.71
CPF,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags3_lags_past_covariates1_output_chunk_length1.csv,2.48,0.85,71.43,40.0,40.0,34.29,34.29
INTUCH
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
INTUCH,Moving Average,window_size_1.csv,2.32,2.24,100.0,57.14,57.14,45.71,45.71
INTUCH,ARIMA,ARIMA_d1_p1_q3.csv,2.17,2.23,71.43,40.0,40.0,31.43,31.43
INTUCH,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags1_lags_past_covariates3_output_chunk_length1.csv,2.15,1.99,54.29,31.43,28.57,25.71,25.71
IVL
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
IVL,Moving Average,window_size_1.csv,3.45,2.1,100.0,45.71,45.71,60.0,60.0
IVL,ARIMA,ARIMA_d1_p8_q1.csv,3.24,1.99,65.71,28.57,28.57,37.14,37.14
IVL,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags2_lags_past_covariates24_output_chunk_length1.csv,3.91,2.22,60.0,31.43,28.57,31.43,31.43
KBANK
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
KBANK,Moving Average,window_size_1.csv,2.75,5.55,100.0,57.14,57.14,48.57,48.57
KBANK,ARIMA,ARIMA_d1_p4_q3.csv,2.61,5.35,68.57,37.14,37.14,31.43,31.43
KBANK,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags1_lags_past_covariates1_output_chunk_length1.csv,2.83,7.28,65.71,28.57,28.57,37.14,37.14
LH
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
LH,Moving Average,window_size_1.csv,2.36,0.28,100.0,57.14,57.14,45.71,45.71
LH,ARIMA,ARIMA_d1_p2_q3.csv,2.31,0.29,62.86,34.29,34.29,28.57,28.57
LH,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags16_lags_past_covariates2_output_chunk_length1.csv,2.84,0.34,54.29,17.14,17.14,37.14,37.14
PTT
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
PTT,Moving Average,window_size_1.csv,2.65,1.19,100.0,54.29,54.29,48.57,48.57
PTT,ARIMA,ARIMA_d1_p2_q24.csv,2.42,1.2,62.86,31.43,31.43,31.43,31.43
PTT,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags24_lags_past_covariates1_output_chunk_length1.csv,3.18,1.54,62.86,45.71,45.71,17.14,17.14
PTTEP
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
PTTEP,Moving Average,window_size_1.csv,3.75,7.66,100.0,62.86,62.86,40.0,40.0
PTTEP,ARIMA,ARIMA_d1_p4_q1.csv,3.68,7.61,54.29,31.43,31.43,22.86,22.86
PTTEP,Fundamental+LDA News+GDELT V1+GDELT V2,LinearRegressionModel_lags4_lags_past_covariates4_output_chunk_length1.csv,3.48,7.39,57.14,31.43,25.71,31.43,31.43
PTTGC
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
PTTGC,Moving Average,window_size_1.csv,3.06,1.96,100.0,40.0,40.0,60.0,60.0
PTTGC,ARIMA,ARIMA_d1_p1_q1.csv,3.05,1.96,51.43,14.29,14.29,37.14,37.14
PTTGC,Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags24_lags_past_covariates1_output_chunk_length1.csv,3.33,2.19,60.0,31.43,25.71,34.29,34.29
SCB
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
SCB,Moving Average,window_size_8.csv,5.49,9.9,57.14,34.29,31.43,28.57,28.57
SCB,ARIMA,ARIMA_d1_p1_q3.csv,6.01,11.69,42.86,17.14,17.14,25.71,25.71
SCB,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags8_lags_past_covariates2_output_chunk_length1.csv,5.1,9.26,60.0,20.0,17.14,45.71,45.71
SCC
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
SCC,Moving Average,window_size_1.csv,1.96,8.97,100.0,57.14,57.14,51.43,51.43
SCC,ARIMA,ARIMA_d1_p1_q3.csv,1.92,8.66,54.29,28.57,28.57,25.71,25.71
SCC,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags12_lags_past_covariates20_output_chunk_length1.csv,1.95,8.86,65.71,42.86,42.86,22.86,22.86
TISCO
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
TISCO,Moving Average,window_size_1.csv,1.48,2.23,100.0,65.71,65.71,40.0,40.0
TISCO,ARIMA,ARIMA_d1_p1_q1.csv,1.49,2.25,65.71,45.71,45.71,20.0,20.0
TISCO,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags24_lags_past_covariates2_output_chunk_length1.csv,1.75,2.39,54.29,31.43,31.43,22.86,22.86
TU
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
TU,Moving Average,window_size_1.csv,2.57,0.59,100.0,48.57,48.57,54.29,54.29
TU,ARIMA,ARIMA_d1_p20_q8.csv,2.38,0.57,68.57,31.43,31.43,37.14,37.14
TU,Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags12_lags_past_covariates2_output_chunk_length1.csv,2.52,0.6,68.57,31.43,31.43,37.14,37.14
WHA
Stock,Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
WHA,Moving Average,window_size_1.csv,3.05,0.14,100.0,54.29,54.29,57.14,57.14
WHA,ARIMA,ARIMA_d1_p16_q4.csv,2.74,0.14,77.14,40.0,40.0,37.14,37.14
WHA,Fundamental+LDA News+GDELT V1+GDELT V2,XGBModel_lags24_lags_past_covariates12_output_chunk_length1.csv,3.82,0.18,68.57,31.43,31.43,37.14,37.14
