param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
ARIMA_d1_p12_q1.csv,2.88,0.14,51.43,31.43,31.43,25.71,25.71
ARIMA_d1_p12_q12.csv,3.28,0.15,48.57,28.57,28.57,28.57,28.57
ARIMA_d1_p12_q16.csv,3.11,0.15,51.43,34.29,34.29,25.71,25.71
ARIMA_d1_p12_q2.csv,2.99,0.14,51.43,28.57,28.57,25.71,25.71
ARIMA_d1_p12_q20.csv,3.08,0.14,57.14,25.71,25.71,31.43,31.43
ARIMA_d1_p12_q24.csv,3.52,0.16,48.57,25.71,25.71,22.86,22.86
ARIMA_d1_p12_q3.csv,2.98,0.14,48.57,25.71,25.71,25.71,25.71
ARIMA_d1_p12_q4.csv,3.02,0.14,48.57,31.43,31.43,22.86,22.86
ARIMA_d1_p12_q8.csv,3.15,0.15,57.14,34.29,34.29,28.57,28.57
ARIMA_d1_p16_q1.csv,2.75,0.14,57.14,31.43,31.43,31.43,31.43
ARIMA_d1_p16_q12.csv,3.08,0.15,48.57,22.86,22.86,31.43,31.43
ARIMA_d1_p16_q16.csv,3.35,0.16,54.29,31.43,31.43,25.71,25.71
ARIMA_d1_p16_q2.csv,2.85,0.14,57.14,31.43,31.43,31.43,31.43
ARIMA_d1_p16_q20.csv,3.3,0.15,48.57,28.57,28.57,20.0,20.0
ARIMA_d1_p16_q24.csv,4.1,0.17,37.14,22.86,22.86,14.29,14.29
ARIMA_d1_p16_q3.csv,2.75,0.14,62.86,40.0,40.0,31.43,31.43
ARIMA_d1_p16_q4.csv,2.74,0.14,60.0,34.29,34.29,34.29,34.29
ARIMA_d1_p16_q8.csv,3.15,0.15,51.43,25.71,25.71,25.71,25.71
ARIMA_d1_p1_q1.csv,3.03,0.14,22.86,17.14,17.14,8.57,8.57
ARIMA_d1_p1_q12.csv,2.95,0.15,51.43,31.43,31.43,25.71,25.71
ARIMA_d1_p1_q16.csv,3.13,0.15,57.14,31.43,31.43,31.43,31.43
ARIMA_d1_p1_q2.csv,2.98,0.14,40.0,22.86,22.86,22.86,22.86
ARIMA_d1_p1_q20.csv,3.2,0.15,45.71,25.71,25.71,22.86,22.86
ARIMA_d1_p1_q24.csv,3.28,0.15,45.71,28.57,28.57,25.71,22.86
ARIMA_d1_p1_q3.csv,2.88,0.14,60.0,37.14,37.14,31.43,31.43
ARIMA_d1_p1_q4.csv,2.91,0.14,48.57,22.86,22.86,28.57,28.57
ARIMA_d1_p1_q8.csv,2.98,0.14,51.43,25.71,25.71,28.57,28.57
ARIMA_d1_p20_q1.csv,2.99,0.14,54.29,28.57,28.57,25.71,25.71
ARIMA_d1_p20_q12.csv,3.22,0.15,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p20_q16.csv,3.33,0.15,54.29,31.43,31.43,28.57,28.57
ARIMA_d1_p20_q2.csv,2.86,0.14,51.43,25.71,25.71,31.43,31.43
ARIMA_d1_p20_q20.csv,3.63,0.15,45.71,22.86,22.86,22.86,22.86
ARIMA_d1_p20_q24.csv,3.95,0.17,42.86,22.86,22.86,20.0,20.0
ARIMA_d1_p20_q3.csv,3.03,0.14,48.57,25.71,25.71,25.71,25.71
ARIMA_d1_p20_q4.csv,3.0,0.14,51.43,28.57,28.57,22.86,22.86
ARIMA_d1_p20_q8.csv,2.99,0.15,51.43,25.71,25.71,28.57,28.57
ARIMA_d1_p24_q1.csv,2.98,0.14,48.57,31.43,31.43,28.57,28.57
ARIMA_d1_p24_q12.csv,3.12,0.15,54.29,28.57,28.57,31.43,31.43
ARIMA_d1_p24_q16.csv,3.56,0.16,45.71,25.71,25.71,20.0,20.0
ARIMA_d1_p24_q2.csv,3.12,0.14,48.57,25.71,25.71,25.71,25.71
ARIMA_d1_p24_q20.csv,3.89,0.16,42.86,20.0,20.0,22.86,22.86
