Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,6,2022-01-04,129.77
1,2022-01-04,6,2022-01-13,132.57
2,2022-01-13,6,2022-01-24,135.0
3,2022-01-24,6,2022-02-02,137.27
4,2022-02-02,6,2022-02-11,139.07
5,2022-02-11,6,2022-02-23,142.3
6,2022-02-23,6,2022-03-04,145.4
7,2022-03-04,6,2022-03-15,146.97
8,2022-03-15,6,2022-03-24,148.2
9,2022-03-24,6,2022-04-04,149.3
10,2022-04-04,6,2022-04-19,150.63
11,2022-04-19,6,2022-04-28,150.93
12,2022-04-28,6,2022-05-11,151.4
13,2022-05-11,6,2022-05-23,152.3
14,2022-05-23,6,2022-06-01,152.73
15,2022-06-01,6,2022-06-13,153.4
16,2022-06-13,6,2022-06-22,153.5
17,2022-06-22,6,2022-07-01,153.7
18,2022-07-01,6,2022-07-12,154.47
19,2022-07-12,6,2022-07-22,154.2
20,2022-07-22,6,2022-08-04,152.33
21,2022-08-04,6,2022-08-16,150.77
22,2022-08-16,6,2022-08-25,150.13
23,2022-08-25,6,2022-09-05,150.07
24,2022-09-05,6,2022-09-14,149.63
25,2022-09-14,6,2022-09-23,148.9
26,2022-09-23,6,2022-10-04,148.83
27,2022-10-04,6,2022-10-17,148.1
28,2022-10-17,6,2022-10-27,148.1
29,2022-10-27,6,2022-11-07,147.93
30,2022-11-07,6,2022-11-16,148.0
31,2022-11-16,6,2022-11-25,147.87
32,2022-11-25,6,2022-12-07,147.57
33,2022-12-07,6,2022-12-19,146.97
34,2022-12-19,6,2022-12-28,146.8
