Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,9,2022-01-04,388.75
1,2022-01-04,9,2022-01-13,386.38
2,2022-01-13,9,2022-01-24,385.88
3,2022-01-24,9,2022-02-02,383.88
4,2022-02-02,9,2022-02-11,382.62
5,2022-02-11,9,2022-02-23,381.62
6,2022-02-23,9,2022-03-04,384.25
7,2022-03-04,9,2022-03-15,384.75
8,2022-03-15,9,2022-03-24,385.12
9,2022-03-24,9,2022-04-04,384.5
10,2022-04-04,9,2022-04-19,383.75
11,2022-04-19,9,2022-04-28,381.5
12,2022-04-28,9,2022-05-11,378.5
13,2022-05-11,9,2022-05-23,375.38
14,2022-05-23,9,2022-06-01,371.88
15,2022-06-01,9,2022-06-13,370.62
16,2022-06-13,9,2022-06-22,368.0
17,2022-06-22,9,2022-07-01,365.75
18,2022-07-01,9,2022-07-12,365.0
19,2022-07-12,9,2022-07-22,366.88
20,2022-07-22,9,2022-08-04,368.5
21,2022-08-04,9,2022-08-16,368.88
22,2022-08-16,9,2022-08-25,368.88
23,2022-08-25,9,2022-09-05,367.5
24,2022-09-05,9,2022-09-14,367.0
25,2022-09-14,9,2022-09-23,364.75
26,2022-09-23,9,2022-10-04,358.5
27,2022-10-04,9,2022-10-17,351.62
28,2022-10-17,9,2022-10-27,343.88
29,2022-10-27,9,2022-11-07,338.62
30,2022-11-07,9,2022-11-16,335.75
31,2022-11-16,9,2022-11-25,333.75
32,2022-11-25,9,2022-12-07,331.38
33,2022-12-07,9,2022-12-19,329.38
34,2022-12-19,9,2022-12-28,329.75
