Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,3,2022-01-04,20.74
1,2022-01-04,3,2022-01-13,20.59
2,2022-01-13,3,2022-01-24,20.48
3,2022-01-24,3,2022-02-02,20.44
4,2022-02-02,3,2022-02-11,20.48
5,2022-02-11,3,2022-02-23,20.45
6,2022-02-23,3,2022-03-04,20.39
7,2022-03-04,3,2022-03-15,20.28
8,2022-03-15,3,2022-03-24,20.13
9,2022-03-24,3,2022-04-04,20.0
10,2022-04-04,3,2022-04-19,19.85
11,2022-04-19,3,2022-04-28,19.62
12,2022-04-28,3,2022-05-11,19.41
13,2022-05-11,3,2022-05-23,19.22
14,2022-05-23,3,2022-06-01,18.99
15,2022-06-01,3,2022-06-13,18.84
16,2022-06-13,3,2022-06-22,18.65
17,2022-06-22,3,2022-07-01,18.46
18,2022-07-01,3,2022-07-12,18.22
19,2022-07-12,3,2022-07-22,17.92
20,2022-07-22,3,2022-08-04,17.58
21,2022-08-04,3,2022-08-16,17.29
22,2022-08-16,3,2022-08-25,17.12
23,2022-08-25,3,2022-09-05,17.04
24,2022-09-05,3,2022-09-14,16.93
25,2022-09-14,3,2022-09-23,16.83
26,2022-09-23,3,2022-10-04,16.88
27,2022-10-04,3,2022-10-17,16.97
28,2022-10-17,3,2022-10-27,17.1
29,2022-10-27,3,2022-11-07,17.24
30,2022-11-07,3,2022-11-16,17.27
31,2022-11-16,3,2022-11-25,17.26
32,2022-11-25,3,2022-12-07,17.23
33,2022-12-07,3,2022-12-19,17.25
34,2022-12-19,3,2022-12-28,17.32
