Date,Action,Stocks Count,Stock Price,Predicted Price,Percent Change,Money Left
2022-12-28,Hold,0,96.75,98.09,1.39,1000000
2023-01-09,Buy,9600,104.0,111.68,7.38,1600.0
2023-01-18,Hold,9600,102.5,102.09,-0.4,1600.0
2023-01-27,Hold,9600,101.0,100.62,-0.38,1600.0
2023-02-07,Hold,9600,102.0,102.17,0.17,1600.0
2023-02-16,Hold,9600,105.5,103.15,-2.23,1600.0
2023-02-27,Hold,9600,100.5,100.68,0.18,1600.0
2023-03-09,Hold,9600,101.0,100.24,-0.75,1600.0
2023-03-20,Stop loss,0,98.0,101.28,3.35,942400.0
2023-03-29,Hold,0,98.0,97.93,-0.07,942400.0
2023-04-10,Hold,0,89.25,89.05,-0.22,942400.0
2023-04-21,Hold,0,76.25,71.72,-5.94,942400.0
2023-05-03,Buy,12900,72.5,77.92,7.48,7150.0
2023-05-16,Hold,12900,72.0,74.99,4.15,7150.0
2023-05-25,Stop loss,0,67.5,64.82,-3.97,877900.0
2023-06-06,Hold,0,63.25,62.62,-1.0,877900.0
2023-06-15,Hold,0,69.0,66.84,-3.13,877900.0
2023-06-26,Hold,0,61.5,63.15,2.68,877900.0
2023-07-05,Hold,0,64.25,62.51,-2.71,877900.0
2023-07-14,Buy,12600,69.25,73.9,6.71,5350.0
2023-07-25,Buy,12600,71.0,74.68,5.18,5350.0
2023-08-07,Hold,12600,71.25,71.65,0.56,5350.0
2023-08-17,Hold,12600,78.0,80.53,3.24,5350.0
2023-08-28,Hold,12600,85.25,86.05,0.94,5350.0
2023-09-06,Hold,12600,82.5,78.99,-4.25,5350.0
2023-09-15,Hold,12600,84.25,82.82,-1.7,5350.0
2023-09-26,Hold,12600,82.25,80.64,-1.96,5350.0
2023-10-05,Hold,12600,76.5,76.69,0.25,5350.0
2023-10-17,Sell,0,68.25,62.65,-8.21,865300.0
2023-10-27,Hold,0,67.25,70.33,4.58,865300.0
2023-11-07,Hold,0,73.25,73.02,-0.31,865300.0
2023-11-16,Hold,0,76.0,75.34,-0.87,865300.0
2023-11-27,Hold,0,79.5,78.17,-1.67,865300.0
2023-12-07,Hold,0,82.25,83.07,1.0,865300.0
2023-12-19,Hold,0,81.25,80.79,-0.57,865300.0
SUMMARY,Final Result,0,N/A,N/A,N/A,865300.0 (-134700.0)
