Features,param,mape,rmse,da[0:0],da[0:-5],da[0:-10],da[5:0],da[10:0]
Moving Average,window_size_2.csv,3.02,0.51,60.0,37.14,37.14,28.57,28.57
ARIMA,ARIMA_d1_p2_q4.csv,3.47,0.5,48.57,22.86,22.86,25.71,25.71
Fundamental,XGBModel_lags20_lags_past_covariates8_output_chunk_length1.csv,2.78,0.51,65.71,34.29,31.43,37.14,34.29
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fundamental+LDA News+GDELT V1+GDELT V2,RandomForest_lags24_lags_past_covariates16_output_chunk_length1.csv,3.51,0.59,60.0,22.86,22.86,37.14,37.14
