,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,18,2022-01-04,222.05
0,2022-01-04,18,2022-01-13,225.67
0,2022-01-13,18,2022-01-24,226.33
0,2022-01-24,18,2022-02-02,225.65
0,2022-02-02,18,2022-02-11,226.17
0,2022-02-11,18,2022-02-23,229.14
0,2022-02-23,18,2022-03-04,229.95
0,2022-03-04,18,2022-03-15,227.56
0,2022-03-15,18,2022-03-24,227.75
0,2022-03-24,18,2022-04-04,231.08
0,2022-04-04,18,2022-04-19,231.42
0,2022-04-19,18,2022-04-28,224.15
0,2022-04-28,18,2022-05-11,224.97
0,2022-05-11,18,2022-05-23,222.92
0,2022-05-23,18,2022-06-01,218.34
0,2022-06-01,18,2022-06-13,219.08
0,2022-06-13,18,2022-06-22,205.97
0,2022-06-22,18,2022-07-01,198.78
0,2022-07-01,18,2022-07-12,193.88
0,2022-07-12,18,2022-07-22,196.48
0,2022-07-22,18,2022-08-04,198.88
0,2022-08-04,18,2022-08-16,201.06
0,2022-08-16,18,2022-08-25,200.71
0,2022-08-25,18,2022-09-05,192.46
0,2022-09-05,18,2022-09-14,193.79
0,2022-09-14,18,2022-09-23,195.99
