Prediction,Predict_Date,Stock_ID,Date,Closing_Price
0,2021-12-22,7,2022-01-04,60.35
1,2022-01-04,7,2022-01-13,60.24
2,2022-01-13,7,2022-01-24,60.34
3,2022-01-24,7,2022-02-02,60.24
4,2022-02-02,7,2022-02-11,60.11
5,2022-02-11,7,2022-02-23,60.1
6,2022-02-23,7,2022-03-04,59.96
7,2022-03-04,7,2022-03-15,59.59
8,2022-03-15,7,2022-03-24,59.18
9,2022-03-24,7,2022-04-04,58.58
10,2022-04-04,7,2022-04-19,58.1
11,2022-04-19,7,2022-04-28,57.55
12,2022-04-28,7,2022-05-11,56.82
13,2022-05-11,7,2022-05-23,55.98
14,2022-05-23,7,2022-06-01,55.04
15,2022-06-01,7,2022-06-13,54.32
16,2022-06-13,7,2022-06-22,53.46
17,2022-06-22,7,2022-07-01,52.66
18,2022-07-01,7,2022-07-12,52.12
19,2022-07-12,7,2022-07-22,51.42
20,2022-07-22,7,2022-08-04,50.75
21,2022-08-04,7,2022-08-16,50.01
22,2022-08-16,7,2022-08-25,49.34
23,2022-08-25,7,2022-09-05,48.86
24,2022-09-05,7,2022-09-14,48.28
25,2022-09-14,7,2022-09-23,47.68
26,2022-09-23,7,2022-10-04,47.1
27,2022-10-04,7,2022-10-17,46.66
28,2022-10-17,7,2022-10-27,46.21
29,2022-10-27,7,2022-11-07,45.76
30,2022-11-07,7,2022-11-16,45.69
31,2022-11-16,7,2022-11-25,45.59
32,2022-11-25,7,2022-12-07,45.5
33,2022-12-07,7,2022-12-19,45.4
34,2022-12-19,7,2022-12-28,45.35
